Basque (eu),Spanish (es),es_traduction
-Defentsa Idazkaria da. -Bai.,- Él es el Secretario de Defensa.,Erreur
Eta hori Hezkuntza Idazkaria da.,- Y ése es el Secretario de Educación.,Erreur
Barne idazkaria zer den ere ez dakit.,Ni siquiera sé lo que es el Secretario del lnterior.,Erreur
Ez Nago idazkaria.,Secretario No Es Seguro.,Erreur
Nongo idazkaria?,¿Secretario? ¿Secretario de qué?,Erreur
Barne idazkaria zenez Joek landare guztiak urez ureztatzea agindu zuen eta hitz eman zuen landareak hazi egingo zirela eta hauts-bola desagertu egingo zela.,Como Secretario del lnterior Joe ordenó que todos los cultivos fueran regados con agua prometiendo que con el tiempo los cultivos crecerían y el polvo desaparecería.,Erreur
Ura komunetatik atera nahi izan zuen. Baina Ez Nago idazkaria bera dago orain komunean.,CANAL DE noticias FOX intentó usar el agua de los retretes pero es el secretario No Es Seguro el que se encuentra en el retrete ahora mismo.,Erreur
Hala bedi. Idazkaria.,que asi sea la voluntad de Dios registrador.,Erreur
"Alphonso Jackson ""HUD""eko idazkaria...",Conrad del comité financiero.,Erreur
"Warren Christopher, AEBko Estatu Idazkariak hau esan zuen:","Warren Christopher, Secretario de Estado de EE.UU.dijo:",Erreur
Rumsfeld defentsa-idazkaria izana zen Gerald Forden gobernuan.,"Rumsfeld fue Secretario de Defensa antes, con Gerald Ford.",Erreur
Duela bi hilabete galdetu nion zure defentsa-idazkariari zer-nolako legeen arabera egiten diren ekintza horiek...,Lepreguntéal SecretariodeDefensa Hace unos meses ... bajoqueleyesserigen estas acciones.,Erreur
"Nob Hill auzoan pisua neukan, korbata eta trajea, idazkariak eta guzti neuzkan lanpostu bat... bizitza gozatzen hasi nintzen, gozamena jakin nuelako... ez nengoela harrezkero formula sozialen intimidazioaren pean, gai nintzen aurrera egiteko, negozioen mundu lehor hartan ere.","Tenía un apartamento en Nob Hill, la corbata y el traje, un trabajo con muchas secretarias que era... el inicio de darme placer, el placer de saber que lo podía hacer... ya no estaba intimidado por las formas sociales, para poder hacerlo en mundo seco de los negocios.",Erreur
"Takigrafialariak, idazkariak, laborategi laguntzaileak... erizainak, kimikariak.","Taquígrafas, secretarias, asistentes de laboratorio enfermeras, químicas.",Erreur
Idazkariari deitu diogu.,- Un agente está en contacto con su secretaria.,Erreur
"Batearekin bi mikrometro goregi joten dio, eta 'fly' bat irteten zaio ondorioz Cleon Jones-i, zein Clara izango zen, idazkaria, bere gurasoek ardorik edan ez balute gau hartan.","Le pega a su bate dos micrómetros demasiado arriba causando que salga un fly a Cleon Jones quien hubiera sido Clara una mecanógrafa, si sus papás no hubieran tomado vino esa noche.",Erreur
"Bai, eremu hori lortu daiteke,   baina Jytte, nire idazkaria behar dugu.","Si, puede conseguirse esa extensión,   pero necesitamos a mi secretaria Jytte.",Erreur
Idazkaria eta Gobernadorea.,El Secretario del Partido y el Alcalde.,Erreur
"Esan nahi dut, Raylene, zure idazkaria, gure entrenatzailea.","Con Raylene, nuestra sec-- Tu secretaria, tu entrenadora.",Erreur
Ba idazkariak esan dit...,Mi secretaria me lo dijo...,Erreur
Badakit denbora asko igaro dela. Baina zu bere idazkaria izan zinen.,Pero tú fuiste su secretaria.,Erreur
Nire idazkariak xehetasun guztiak ditu.,Mi secretaria tiene todos los detalles.,Erreur
Esan iezaiozu zure idazkariari dena ondo dagoela.,Dígale a su secretaria que todo está bien.,Erreur
"Ez naiz zure idazkaria, Rinku.","Yo no soy tu secretaria, Rinku.",Erreur
"Mila esker zure asmamenagatik, Pierce idazkaria.","Gracias por su ingenio, secretario Pierce.",Erreur
"""Laird Defentsa idazkariaren ondoan agertuko da... eta Bolivar Trask zientzilariaren laguntza izango du, mutanteen aurkako borrokan aholkulari berezia.""",Lo acompañará el Secretario de Defensa Laird e incluso solicitó la ayuda del renombrado científico Bolivar Trask su asesor especial en el combate al problema mutante.,Erreur
Idazkariak grabagailuak itzali ditzake.,"Señora Secretaria, usted puede apagar sus dispositivos de grabación.",Erreur
Idazkariak goiko solairura.,"Las secretarias, en el piso superior.",Erreur
"Estatuko Idazkaria naiz astelehenetik bakarrik. Baina badakit estralurtarrekin dugun gudari buruzkoak, hauek... Hauek direla bilera dibertigarri bakarrak.","Solo he sido jefe de su Estado Mayor desde el lunes, pero sé que las reuniones sobre extraterrestres son las únicas divertidas.",Erreur
Idazkaria?,- ¡Con acento!,Erreur
"-Bai, idazkaria.","Sí, la secretaria.",Erreur
"Teniente, Stimson idazkariarekin hitz egiteko baimena eskatzen dut.",Déjeme hablar con el secretario Stimson...,Erreur
Woroniecki idazkariak esan du egun bat lehenago helduko dela.,Cable del secretario Woroniecki. Llegar谩 un d铆a antes.,Erreur
"Idazkaria izaten saiatzen ari naiz, zuek esan bezala, sarjentua.","Todavía estoy tratando de escribir como una muchacha, como usted ha dicho, sargento.",Erreur
Zure idazkariak deitu eta ordubete lehenago etortzeko esan zidan.,Su secretaria llamó para pedirme que llegara una hora antes.,Erreur
-Epaitegi idazkaria.,- Maestro de abogacía.,Erreur
Epaitegi-idazkaria naiz.,Maestro de abogacía.,Erreur
Idazkaria naiz.,Soy un mecanógrafo.,Erreur
Sook-yin Park-en bulegotik deitzen dut. Koreako Herri Errepublikako... Komunikazio idazkaria da.,Hablo en nombre de Sook-yin Park secretar¡a de comunicaciones de Corea del Norte.,Erreur
"Hau Gwen da, eta hau Cliff, klubeko idazkaria","Esta es Gwen, y este es Cliff, nuestro secretario del club.",Erreur
Eta Segurtasun Nazionaleko idazkaria ere bai.,También el secretario de Seguridad Nacional.,Erreur
Idazkariak bere mahaian gordetzen du artxiboen giltza.,Fácil. La secretaria tiene la llave del archivo en el cajón de su escritorio.,Erreur
"Zhang jauna, hau Vee andereñoa da, Pramuk jaunaren idazkaria.","Sr. Zhang, esta es la Sra. Vee, la secretaria del Sr. Pramuk.",Erreur
Ez egin idazkariarena.,No actúes como secretaria.,Erreur
Idazkaria nintzen.,Empecé a trabajar como secretaria.,Erreur
Defentsa idazkaria telefonoan.,"El Secretario de Defensa está al teléfono, dice que es urgente.",Erreur
Enbaxada sobietarreko bigarren idazkaria.,Soy el secretario de la embajada soviética.,Erreur
"Atzerriko herrialde bateko enbaxada bateko idazkaria baino ez naiz. Ados, ados.",Soy un simple secretario en la embajada de asuntos extranjeros.,Erreur
Schischkin? Ez da enbaxadako idazkaria.,"Shesquian, no es un miembro ni es el secretario.",Erreur
"Idazkariarekin ezkondu nintzenean, gogorra izan zinen nirekin.","Cuando me casé con mi secretaria, fuiste duro conmigo.",Erreur
Roger Sterlingen bigarren idazkaria naiz.,Caroline me va a echar por la ventana.,Erreur
Idazkaria bidaliko dut taxi batean bihar.,Mandaré a mi secretaria aquí en un taxi mañana.,Erreur
"Idazkaria eta diruzaina naizenez, esan nahi nuke... gaurko eguna historikoa dela.","Me gustaría decir, como secretario y tesorero, que es de verdad una histórica ocasión.",Erreur
Botoak eskatu dira eta idazkariak zerrenda pasako du.,Se han pedido los votos y el secretario pasará lista.,Erreur
Eta Durant nire idazkariarekin hitz egin.,Y deberían dirigirse a la secretaria Durant.,Erreur
Estatuko idazkariarekin.,Con la secretaria de Estado.,Erreur
Durant idazkaria Tangerren da oraintxe.,La secretaria Durant está en Tánger ahora.,Erreur
"Bigarren justizia azpi-idazkaria izango da lehendakari hautagai, bestea Willian Howard Taft izan zen, 1908an.",Será la segunda subsecretaria de justicia que se postula para presidente el otro fue Willian Howard Taft en 1908.,Erreur
"Jarri zaituzte Remyk jakinaren gainean, beraz, Segurtasun Nazionalaren idazkariaz gain, zeina ez baita jada gurekin, bada beste inor planaren aurka?","Sé que Remy los puso al día, así que además del secretario de Seguridad Nacional, quien ya no está con nosotros, ¿alguien más se opone a este plan?",Erreur
Travers idazkaria adibide ona da.,El secretario Travers es un buen ejemplo.,Erreur
"Esan nion zure idazkariari, baina baina ez didazu deia itzuli.","Se lo dije a tu secretaria, pero no me devolviste la llamada.",Erreur
"Entzun, nire idazkariak esaten dit langileen bilera egin behar dugula.","Escucha, mi chica me está diciendo que hora de nuestra reunión de personal.",Erreur
Bulegora deitzeko esan nion. Zure idazkaria ergel hutsa da.,Le dije que te llamase al despacho.,Erreur
Idazkariak zerrenda pasatuko du.,El Secretario pedirá la votación.,Erreur
Idazkariak zerrenda pasatuko du.,- Sí. El Secretario pedirá la votación.,Erreur
Idazkariak zerrenda pasatuko du.,El Secretario pedirá... la votación.,Erreur
Idazkariak perrenda zasatuko du.,El Secretario pedirá la votación.,Erreur
"Sinegaitza badirudi ere, harreman ona dugu idazkariarekin.",Aunque no lo crean tenemos buenas relaciones con el Ministro.,Erreur
"Idazkariaren lana eginda dago, beraz, neure atzetik dena prest utzi dut.","Al menos limpié mi desastre. Eso es todo. - Sí, hiciste un desastre.",Erreur
-Dirua lapurtu zuen idazkaria?,¿Qué tiene?,Erreur
Caspereren idazkaria zen.,Era la secretaria de Caspere.,Erreur
"- Hau Judy da, nire idazkaria. - Kaixo.","- Esta es Judy, mi secretaria.",Erreur
Israelgo prentsa idazkaria gustatuko zaizu.,El secretario de prensa israelí te va a caer bien.,Erreur
Nolatan geratu gara Israelgo prentsa idazkaria arabiar kafe batean?,¿Por qué nos encontramos con el secretario de prensa israelí en un café arábico?,Erreur
"Eta bai, inguruan pazienteak eta idazkariak genituen eta ospitaleko bozgorailua ez zen isiltzen sarreran, baina ez gutxietsi lana baino ez zelakoan...","Y sí, estábamos rodeados de pacientes y secretarias y el altavoz del hospital sonando en la entrada, pero no lo menosprecies como solo trabajo...",Erreur
Eskatu hitzordu bat nire idazkariari eta zatoz zure emaztearekin.,Pídale una cita a mi secretaria y venga con su esposa.,Erreur
"F-3421 Sue da, Memorialeko hornikuntzako idazkaria.","La F- 3421 es Sue, la secretaria de suministros de Memorial.",Erreur
"Zure idazkariak gauza interesgarriak aipatu ditu, Logan jauna.","Su... su secretaria ha hecho algunos comentarios interesantes, Sr. Logan.",Erreur
Ez naiz bere idazkaria. Naiz...,"No, no soy su secretaria.",Erreur
Ez duzu hitz egin idazkariarekin?,"Bueno, siento que mi chica no les haya hecho la reserva.",Erreur
Nire idazkariak dio emakume batek deitu zuela. Uste nuen...,"Bueno, mi secretaria dijo que había llamado una mujer, así que pensé eso.",Erreur
"Gonbidapena iritsi zenean, ustez zurea zela. Nire idazkariak Alicekin adostu zuen ordua niri esan gabe. - Eta hemen zaude!","Porque cuando la invitación llegó, presuntamente de tu parte, mi secretaria llamó a Alice para confirmar la hora sin consultármelo.",Erreur
"Koronela, defentsa-idazkaria daukazu telefonoan.","Coronel, el Secretario de Defensa está al teléfono.",Erreur
"Swanwick idazkaria, ez dizkidazu erantzun deiak.","Secretario Swanwick, no ha devuelto mis llamadas telefónicas.",Erreur
"Igeltsero, arotz, idazkaria hemen dago!",Todos los constructores y carpinteros id con ese hombre de ahí.,Erreur
"Bennett kapitaina, Hank Galen naiz, defentsa-idazkaria.","Capitán Bennett, soy Hank Galen, secretario de Defensa.",Erreur
Nire idazkariak prestaketak egingo ditu.,Le pediré a mi secretario que lo arregle.,Erreur
Idazkaria al zara?,¿Hablo con la secretaria?,Erreur
Erresuma Batuko enbaxadorea estatu-idazkariari eskatzen ari zaio segurtasun nazionaleko sekretuak zabaltzea?,¿La embajadora británica está pidiéndole al secretario de Estado que comparta secretos de seguridad nacional?,Erreur
Zure pertsona sekretuak ba al daki zergatik batu zen Dahlia Archer zure Mantikorako laguna McCulough idazkariarekin atzo Dahliaren etxean?,"¿Tu personaje secreto sabe por qué tu compañera de Manticore, Dahlia Archer, se reunió ayer con el secretario McCulough en su casa?",Erreur
DEFENTSA IDAZKARIA,SECRETARIO DE DEFENSA,Erreur
Ez naiz bere idazkaria.,Yo no soy su secretaria.,Erreur
"Leiho bat zeharkatu genuen autoarekin, duela 5 urte eskaileretatik erori zen idazkariaren soldata igoera eskaera irakurtzeko.",Atravesamos un ventanal con un auto para saber qué indemnización recibió una secretaria que se cayó en la escalera de New Age.,Erreur
Zure idazkariarekin hitz egitera noa.,Tengo que hablar con su secretaria.,Erreur
"""Umberto Nitti, Antonio Juvara zuzendariaren idazkaria"".","[Jacopo] ""Umberto Nitti, ""secretaria del director Antonio Juvara.""",Erreur
Juvararen idazkaria izan zen Turingo Bankuan.,Era la secretaria de Juvara. en el Banco de Turín. Mm.,Erreur
Nitti Juvararen idazkaria zen Turingo Bankuan.,Nitti era la secretaria de Juvara. en el Banco de Turín.,Erreur
