Basque (eu),Spanish (es)
Idazkariak bere mahaian gordetzen du artxiboen giltza.,Fácil. La secretaria tiene la llave del archivo en el cajón de su escritorio.
"Zhang jauna, hau Vee andereñoa da, Pramuk jaunaren idazkaria.","Sr. Zhang, esta es la Sra. Vee, la secretaria del Sr. Pramuk."
Ez egin idazkariarena.,No actúes como secretaria.
Idazkaria nintzen.,Empecé a trabajar como secretaria.
Defentsa idazkaria telefonoan.,"El Secretario de Defensa está al teléfono, dice que es urgente."
Enbaxada sobietarreko bigarren idazkaria.,Soy el secretario de la embajada soviética.
"Atzerriko herrialde bateko enbaxada bateko idazkaria baino ez naiz. Ados, ados.",Soy un simple secretario en la embajada de asuntos extranjeros.
Schischkin? Ez da enbaxadako idazkaria.,"Shesquian, no es un miembro ni es el secretario."
"Idazkariarekin ezkondu nintzenean, gogorra izan zinen nirekin.","Cuando me casé con mi secretaria, fuiste duro conmigo."
Roger Sterlingen bigarren idazkaria naiz.,Caroline me va a echar por la ventana.
Idazkaria bidaliko dut taxi batean bihar.,Mandaré a mi secretaria aquí en un taxi mañana.
"Idazkaria eta diruzaina naizenez, esan nahi nuke... gaurko eguna historikoa dela.","Me gustaría decir, como secretario y tesorero, que es de verdad una histórica ocasión."
Botoak eskatu dira eta idazkariak zerrenda pasako du.,Se han pedido los votos y el secretario pasará lista.
Eta Durant nire idazkariarekin hitz egin.,Y deberían dirigirse a la secretaria Durant.
Estatuko idazkariarekin.,Con la secretaria de Estado.
Durant idazkaria Tangerren da oraintxe.,La secretaria Durant está en Tánger ahora.
"Bigarren justizia azpi-idazkaria izango da lehendakari hautagai, bestea Willian Howard Taft izan zen, 1908an.",Será la segunda subsecretaria de justicia que se postula para presidente el otro fue Willian Howard Taft en 1908.
"Jarri zaituzte Remyk jakinaren gainean, beraz, Segurtasun Nazionalaren idazkariaz gain, zeina ez baita jada gurekin, bada beste inor planaren aurka?","Sé que Remy los puso al día, así que además del secretario de Seguridad Nacional, quien ya no está con nosotros, ¿alguien más se opone a este plan?"
Travers idazkaria adibide ona da.,El secretario Travers es un buen ejemplo.
"Esan nion zure idazkariari, baina baina ez didazu deia itzuli.","Se lo dije a tu secretaria, pero no me devolviste la llamada."
"Entzun, nire idazkariak esaten dit langileen bilera egin behar dugula.","Escucha, mi chica me está diciendo que hora de nuestra reunión de personal."
Bulegora deitzeko esan nion. Zure idazkaria ergel hutsa da.,Le dije que te llamase al despacho.
Idazkariak zerrenda pasatuko du.,El Secretario pedirá la votación.
Idazkariak zerrenda pasatuko du.,- Sí. El Secretario pedirá la votación.
Idazkariak zerrenda pasatuko du.,El Secretario pedirá... la votación.
Idazkariak perrenda zasatuko du.,El Secretario pedirá la votación.
"Sinegaitza badirudi ere, harreman ona dugu idazkariarekin.",Aunque no lo crean tenemos buenas relaciones con el Ministro.
"Idazkariaren lana eginda dago, beraz, neure atzetik dena prest utzi dut.","Al menos limpié mi desastre. Eso es todo. - Sí, hiciste un desastre."
-Dirua lapurtu zuen idazkaria?,¿Qué tiene?
Caspereren idazkaria zen.,Era la secretaria de Caspere.
"- Hau Judy da, nire idazkaria. - Kaixo.","- Esta es Judy, mi secretaria."
Israelgo prentsa idazkaria gustatuko zaizu.,El secretario de prensa israelí te va a caer bien.
Nolatan geratu gara Israelgo prentsa idazkaria arabiar kafe batean?,¿Por qué nos encontramos con el secretario de prensa israelí en un café arábico?
"Eta bai, inguruan pazienteak eta idazkariak genituen eta ospitaleko bozgorailua ez zen isiltzen sarreran, baina ez gutxietsi lana baino ez zelakoan...","Y sí, estábamos rodeados de pacientes y secretarias y el altavoz del hospital sonando en la entrada, pero no lo menosprecies como solo trabajo..."
Eskatu hitzordu bat nire idazkariari eta zatoz zure emaztearekin.,Pídale una cita a mi secretaria y venga con su esposa.
"F-3421 Sue da, Memorialeko hornikuntzako idazkaria.","La F- 3421 es Sue, la secretaria de suministros de Memorial."
"Zure idazkariak gauza interesgarriak aipatu ditu, Logan jauna.","Su... su secretaria ha hecho algunos comentarios interesantes, Sr. Logan."
Ez naiz bere idazkaria. Naiz...,"No, no soy su secretaria."
Ez duzu hitz egin idazkariarekin?,"Bueno, siento que mi chica no les haya hecho la reserva."
Nire idazkariak dio emakume batek deitu zuela. Uste nuen...,"Bueno, mi secretaria dijo que había llamado una mujer, así que pensé eso."
"Gonbidapena iritsi zenean, ustez zurea zela. Nire idazkariak Alicekin adostu zuen ordua niri esan gabe. - Eta hemen zaude!","Porque cuando la invitación llegó, presuntamente de tu parte, mi secretaria llamó a Alice para confirmar la hora sin consultármelo."
"Koronela, defentsa-idazkaria daukazu telefonoan.","Coronel, el Secretario de Defensa está al teléfono."
"Swanwick idazkaria, ez dizkidazu erantzun deiak.","Secretario Swanwick, no ha devuelto mis llamadas telefónicas."
"Igeltsero, arotz, idazkaria hemen dago!",Todos los constructores y carpinteros id con ese hombre de ahí.
"Bennett kapitaina, Hank Galen naiz, defentsa-idazkaria.","Capitán Bennett, soy Hank Galen, secretario de Defensa."
Nire idazkariak prestaketak egingo ditu.,Le pediré a mi secretario que lo arregle.
Idazkaria al zara?,¿Hablo con la secretaria?
Erresuma Batuko enbaxadorea estatu-idazkariari eskatzen ari zaio segurtasun nazionaleko sekretuak zabaltzea?,¿La embajadora británica está pidiéndole al secretario de Estado que comparta secretos de seguridad nacional?
Zure pertsona sekretuak ba al daki zergatik batu zen Dahlia Archer zure Mantikorako laguna McCulough idazkariarekin atzo Dahliaren etxean?,"¿Tu personaje secreto sabe por qué tu compañera de Manticore, Dahlia Archer, se reunió ayer con el secretario McCulough en su casa?"
DEFENTSA IDAZKARIA,SECRETARIO DE DEFENSA
Ez naiz bere idazkaria.,Yo no soy su secretaria.
"Leiho bat zeharkatu genuen autoarekin, duela 5 urte eskaileretatik erori zen idazkariaren soldata igoera eskaera irakurtzeko.",Atravesamos un ventanal con un auto para saber qué indemnización recibió una secretaria que se cayó en la escalera de New Age.
Zure idazkariarekin hitz egitera noa.,Tengo que hablar con su secretaria.
"""Umberto Nitti, Antonio Juvara zuzendariaren idazkaria"".","[Jacopo] ""Umberto Nitti, ""secretaria del director Antonio Juvara."""
Juvararen idazkaria izan zen Turingo Bankuan.,Era la secretaria de Juvara. en el Banco de Turín. Mm.
Nitti Juvararen idazkaria zen Turingo Bankuan.,Nitti era la secretaria de Juvara. en el Banco de Turín.
