Basque (eu),Spanish (es),Spanish_Translation
"Gaur egun, musika dokumentalen sailean, Mexikoko DOCSDF eta Cine Migrante de Argentinako programatzailea da.",Canciones también el programador de las secciones de documental musical de los festivales DOCSDF de México y Cine Migrante de Argentina.,"En la actualidad, en la sección de documentales de música, es programadora de DOCSDF y Cine Migrante de Argentina de México."
"Partekatutako memoria: CUDAk programatzaileari 16KB-ko memoria-eremu bat (edo 48KB Fermi seriean) jartzen dio eskuragarri, hari guztien artean partekatuko dena.",Memoria compartida: CUDA pone a disposición del programador un área de memoria de 16KB (o 48KB en la serie Fermi) que se compartirá entre hilos.,Memoria compartida: CUDAk pone a disposición del programa un campo de memoria de 16KB (o en serie Fermi) que se compartirá entre todos los hilos.
• Sistema automatizatuen programatzailea.,• Programador de sistemas automatizados.,• Programadora de sistemas automatizados.
1997tik Bartzelonako Harlem Jazz Club-eko “Constes i Cuentos” helduentzako ipuin-zikloaren programatzailea da.,"Desde el año 1997 es programadora del ciclo de cuentos para adultos ""Contes i Cuentos"" del los cuentos, a los narradores de cuentos y al arte de narrar.",Desde 1997 es programador de un ciclo de cuentos para adultos de Harlem Jazz Club de Barcelona.
"Herrialde gehienetan, programatzailea lan kategoria ezaguna ere bada.","En la mayoría de los países, programador es también una categoría profesional reconocida.","En la mayoría de los países, el programador también es una categoría de trabajo conocida."
Nafarroako Ikus-entzunezkoen Sormenaren Jaialdian izan ziren formatu berri horietan lan egiten zuten artistak nahiz gertatzen ari ziren aldaketa horien gaineko hausnarketa egiten zuten programatzaileak eta teorikoak.,"Por el Festival de Creación Audiovisual de Navarra pasaron no solo artistas que trabajaban en estos nuevos formatos, sino también programadores y teóricos que reflexionaban sobre estos cambios que se estaban produciendo.","En el Festival de Creatividad Audiovisual de Navarra, los artistas que trabajaban en estos nuevos formatos, así como los programadores y teóricos que reflexionaban sobre los cambios que se estaban produciendo."
"LCD irteera horrek programatzaileari laguntzen dio framework-ak ordeztu nahi duenean, pantailan datuen irteera baimentzen du eta blokearen edozein barne-elementuren egoeraren irteera sortzeko.","Esta salida de LCD ayuda al programador en caso que quiera hacer reemplazo del framework, ya que permite la salida de datos en pantalla, para generar una salida de estado de cualquier elemento interno del bloque.","Esta salida LCD ayuda al programador cuando el framework quiere reemplazar, permite la salida de datos en la pantalla y crea la salida del estado de cualquier elemento interno del bloque."
"Gure Costa Ricoko Zentroak esperientzia handiko eta exekutiboko idazkari zorrotz bat, gaixoaren bezeroarentzako arreta agentea, gaitasun handiko telemarkatzaileak eta irudimenezko web diseinatzaileak eta programatzaileak behar ditu.","Nuestro Centro de llamadas de Costa Rica siempre tiene la necesidad de los experimentados y aquellos que desean ser un secretario ejecutivo, un agente de atención al cliente, telemarketers altamente calificados y diseñadores web y programadores imaginativos.","Nuestro Centro de Costa Rico necesita de un secretario riguroso de gran experiencia y ejecutivo, de una atención al cliente, telemarcadores y diseñadores y programadores web imaginarios."
Antzerki programatzaileak,Organizador de espectáculos de teatro,Programadores de teatro
"Programatzailea naiz, eta ildo horretan, a priori, filmaren edukia da gehien interesatzen zaidana.","Soy un programador y como programador, a priori, lo que más me interesa es el contenido de la película.","Soy programador, y en ese sentido, a priori, lo que más me interesa es el contenido de la película."
"Programa honen helburuak honako hauek dira: jazza aktiboki sustatzea, espainiar jazz taldeen partaidetza jaialdietan bultzatzea, SGAEko kide diren bazkideentzako nazioarteko birak garatzea, eta topaketak eta esperientzien elkartrukaketak erreztea eta gure herrialdeko eta mundu guztian sektore honetan dauden profesionalak elkar ezagutzea (autoreak, artistak, managerrak, programatzaileak, jaialdietako zuzendariak, disketxeak, etab.).","Los objetivos de este programa son: promocionar de forma directa el flamenco de nuestro país, incentivar la participación de grupos españoles de flamenco en festivales, promover giras internacionales para socios de SGAE y favorecer los encuentros y el intercambio de experiencias y conocimiento entre profesionales del sector (autores, artistas, mánagers, programadores, directores de festivales, discográficas, etc.) de nuestro país y del resto del mundo.","El objetivo de este programa es impulsar activamente el jazz, impulsar la participación de grupos de jazz españoles en festivales, desarrollar giras internacionales para los socios miembros de la SGAE, quemar encuentros y intercambios de experiencias y conocer a profesionales en este sector en nuestro país y en todo el mundo (autores, artistas, managers, programadores, directores de festivales, discográficas, etc.)."
"Berlinen duen estudioa, Studio Olafur Eliasson, lan-eremu bat da, baina baita elkartzeko eta elkarrizketarako gune bat ere. Bertan, eskarmentu handiko askotariko artisauak, arkitektoak, artxibozainak, ikertzaileak, administratzaileak, sukaldariak, programatzaileak, arte-historialariak eta teknikari espezializatuak biltzen dira.","Su estudio de Berlín, Studio Olafur Eliasson, es un espacio de trabajo, pero también de encuentro y diálogo, que reúne a un equipo variado de experimentados artesanos, arquitectos, archiveros, investigadores, administradores, cocineros, programadores, historiadores del arte y técnicos especializados.","Su estudio en Berlín, Studio Olafur Eliasson, es un campo de trabajo, pero también un espacio de encuentro y diálogo donde se reúnen artesanos, arquitectos, archiveros, investigadores, administradores, cocineros, programadores, historiadores artísticos y técnicos especializados."
"Bitarteko kernela kudeatzen duen sistema eragilearen helburuetako bat, hardwarearekiko sarbidea babestean eta hardwarearen lokalizazio baliabideak ondo kudetzean datza. Honek programatzaileak laguntzen ditu zeren eta honi esker ez dira gauza horietaz arduratu behar.","Uno de los propósitos del sistema operativo que gestiona el núcleo intermediario consiste en gestionar los recursos de localización y protección de acceso del hardware, hecho que alivia a los programadores de aplicaciones de tener que tratar con estos detalles.","Uno de los objetivos del sistema operativo que gestiona el núcleo intermedio consiste en proteger el acceso al hardware y en controlar bien los recursos de localización del hardware, lo que ayuda a los programadores porque no hay que ocuparse de esas cosas."
"Ekainaren 23a - Vinton Cerf, estatubatuar programatzailea eta Interneten aitzindaria.",23 de junio: Albert Pintat cine y guionista argentino.,"23 de junio - Vinton Cerf, programador estadounidense y pionero en Internet."
1997tik Bartzelonako Harlem Jazz Club-eko “Constes i Cuentos” helduentzako ipuin-zikloaren programatzailea da. Pirinioetan egiten duten “Un Río de Cuentos” Kontalarien Nazioarteko Topaketaren zuzendaria da. Irratiko “Contes i Cuentos” programa zuzendu eta gidatzen du.,"Desde el año 1997 es programadora del ciclo de cuentos el programa de radio ""Contes i Cuentos"" dedicado a los cuentos, a los narradores de cuentos y al arte de narrar.","Desde 1997 es programador de un ciclo de cuentos para adultos en el Harlem Jazz Club de Barcelona, que dirige y dirige el programa  ~Contes i Cuentos1900, un encuentro Internacional de narradores que se celebra en los Pirineos."
Urtean zehar gutxienez sei kontzertu antolatzen dituzten musika-programatzaileak baino ez dira aintzat hartu.,Solamente se consideraran los programadores musicales que organicen un mínimo de 6 conciertos repartidos a lo largo del año.,Se han tenido en cuenta únicamente los programadores de música que organizan al menos seis conciertos a lo largo del año.
"Diseinu baten arabera arkitektura antolatuak sortzeak informazioa maila molekularrean erabiltzea eskatzen du, molekulen programatzaileak izango bagina bezala. Horrela, kimika eta informatika lotzen dira.","Esta generación de arquitecturas organizadas según un diseño requiere que manejemos información a nivel molecular, algunas que únicamente representan un mundo de todos los que todavía están esperando a que los creemos.","La creación de arquitecturas organizadas según un diseño requiere el uso de la información a nivel molecular, como si fuéramos programadores de moléculas, conectando química e informática."
• Fabrikazio mekanikoko sistema automatizatuen programatzailea.,• Programador de sistemas automatizados en fabricación mecánica.,• Programador de sistemas automatizados de fabricación mecánica.
"Jarduerak Jarduerak informatikaria, fisikaria, programatzailea, unibertsitateko irakaslea, web developerra, ingeniaria eta asmatzailea","Informático teórico, físico, programador, profesor universitario, desarrollador web (desde 1989), ingeniero e inventor","Actividades Informática, Físico, programador, profesor universitario, web developer, ingeniero e inventor"
"Japoniako finantza egunkari handiena den Nikkei-ko edizio laguntzailea izan zen hamar urtez Iparramerika eta Hegoamerikako egoitzan. Zinemagintza munduan 2000ko hamarkada hasieran murgildu zen, filma idazle eta elkarrizketatzaile bezala New Yorken, eta Torontoko (Kanada) Sinsedai Cinema Festival-eko programatzailea lanean ere bai.","Durante diez años, fue asistente editorial de Nikkei, el mayor periódico financiero de Japón, en la sede de la empresa los esfuerzos del fotógrafo de fama mundial Miyako Ishiuchi por filmar las pertenencias personales de la artista Frida Kahlo que han pasado inadvertidas durante 58 años.","Durante diez años fue colaborador de Nikkei, el mayor periódico financiero del Japón, en la sede norteamericana y sudamericana. En el mundo cinematográfico se sumergió a principios de los años 2000, como escritor y entrevistador en Nueva York y programador del Sinsedai Cinema Festival de Toronto (Canadá)."
"Akreditazio profesionala zinemaren eta ikusentzunezko sormenaren esparruko profesionalentzat erreserbatuta dago modu esklusiboan (ekoizpenetxeak eta banaketaetxeak, errealizadoreak eta programatzaileak) nahiz hirugarren zikloko ikasleentzat (ikusentzunezko ikasketa espezifikoak).","La acreditación profesional está reservada exclusivamente a profesionales del ámbito del cine y la creación audiovisual (productoras y distribuidoras, realizadores y programadores), así como a graduados o licenciados en estudios específicos de audiovisual.","La acreditación profesional está reservada de forma exclusiva a profesionales del ámbito del cine y la creación audiovisual (ausencias y centros de distribución, realizadores y programadores) y al alumnado del tercer ciclo (estudios audiovisuales específicos)."
"Euskal AEn programatutako kontzertuak, artistaren/taldearen jatorriaren arabera agentzia programatzailearen tipologiaren arabera",Conciertos programados en la C.A. de Euskadi por origen del artista/grupo según tipología de la agencia programadora,Conciertos programados en la C.A. de Euskadi por tipología de agencia programadora según el origen del artista/grupo
"BrickOS instrukzioen eta programen liburutegia da, programatzaileari zuzenean blokearen BIOSra sartzen uzten diona eta han, nukleo eragilea eta blokeak dituen baliabide guztiak estekatzeko beharrezko liburutegiak dituen mikro sistema eragile bat instalatzen uzten diona.",BrickOS es una librería de instrucciones y programas que permiten al programador ingresar de forma directa a la BIOS del bloque y allí instalar un micro sistema operativo con su respectivo núcleo operativo y librerías necesarias para enlazar todos los recursos que dispone el bloque.,BrickOS es una biblioteca de instrucciones y programas que permite al programador entrar directamente a la BIOS del bloque y instalar un microsistema operativo que dispone de la biblioteca para conectar el núcleo operativo y todos los recursos que dispone.
"Dohaintzarik egin behar ez duzun bitartean, programatzailea esan ohi da ""Hey!","Si bien no tiene que donar, el programador básicamente dice: ""¡Hola!","Mientras no tienes que hacer donaciones, el programador se llama ""¡Hola!"
"Gaur egun, kazetari elektronikoak, diseinatzaileak eta programatzaileak elkarren ondoan aritzen dira lanean, mundu guztiarengana iristeko asmoz.","En la actualidad, periodistas electrónicos, diseñadores y programadores, entre otros profesionales, trabajan codo con codo para llegar a todo el mundo.","En la actualidad, periodistas electrónicos, diseñadores y programadores trabajan juntos para llegar a todo el mundo."
"[Diru horrekin, kazetariari, programatzaileari eta bistaratzaileari ordainduko zaie] BIRKALIFIKATZEKO ERRETZEN AL DA?","[Con este dinero se pagará al periodista, al programador y al visualizador] ¿SE QUEMA PARA RECALIFICAR?","[Con este dinero, se pagarán al periodista, programador y visualista] ¿Y SE REHARÁ A LA RECAUDACIÓN?"
"Joera berriei jarraiki, adimen artifizialeko algoritmoen bidez robot batek posible du ikastea, programatzaileak horretarako sekuentzia osoa sartu gabe ere.",La nueva tendencia es que los algoritmos de inteligencia artificial permiten al robot aprender sin necesidad de que el programador haya introducido la totalidad de la secuencia de lo que tiene que hacer.,"Siguiendo las nuevas tendencias, a través de algoritmos de inteligencia artificial un robot puede aprender, incluso sin que el programador introduzca la secuencia completa para ello."
"Herrialde gehienetan, programatzailea lan kategoria ezaguna ere bada.","En muchos países, el/la programador/a es también una categoría profesional reconocida.","En la mayoría de los países, el programador también es una categoría de trabajo conocida."
"Nori zuzenduta (edonor, programatzaileak, ekologistak…)","Dirigido a (cualquiera, programadores, ecologistas…)","Dirigido a quién (onor, programadores, ecologistas...)"
"Ohi den bezala, Zinemaldiko lehen larunbatean laburren ekipoak eta zenbait zinemalditako programatzaileak bildu genituen emanaldi itxi batean, eta jaialdiko itxiera egunean lehen aldiz hiru film labur proiektatu zituzten Belodromoko pantaila erraldoian.","Como marca la tradición, el primer sábado del Zinemaldi juntamos a los equipos de los cortos y a algunos programadores en una proyección privada, y por primera vez proyectaron tres cortometrajes en la clausura del Festival.","Como es habitual, el primer sábado del Festival reunimos en una sesión cerrada equipos cortos y programadores de festivales, y el día del cierre del festival proyectaron por primera vez tres cortometrajes en la pantalla gigante del Velódromo."
"Gaur egun, kazetari elektronikoak, diseinatzaileak eta programatzaileak elkarren ondoan aritzen dira lanean, mundu guztiarengana iritsi aldera”.","En la actualidad, periodistas electrónicos, diseñadores y programadores, entre otros profesionales, trabajan codo con codo para llegar a todo el mundo”.","En la actualidad, periodistas electrónicos, diseñadores y programadores trabajan codo a codo para llegar a todo el mundo."
"Nahiz eta begizta mota desberdinak egon, denak dira funtzio berdinak egiteko gai. Programatzailearen beharraren araberakoa da zein erabiliko duen erabakitzea.","Hay que decir que a pesar de que existan distintos tipos de bucles, todos son capaces de realizar exactamente las mismas funciones.","Aunque existen diferentes tipos de bucles, todos son capaces de realizar las mismas funciones. La necesidad del programador depende de cuál lo utilice."
"– Maria Luisa Municio, Valladolideko CinHomo Jaialdiaren programatzailea eta buruetako bat.","Como diseñador, las cabezas visibles del Festival CinHomo de Valladolid.","- María Luisa Municio, programadora y uno de los líderes del Festival Cin Homo de Valladolid."
"BBK-k egin du beka-deialdia bere laugarren BBK BOOTCAMP campuserako; prestakuntza-sistema trinko hau AEBetatik Euskadira ekarria da, errekorrezko denboran aditu programatzaileak prestatzeko","BBK ha abierto la convocatoria de becas para su cuarto campus BBK BOOTCAMP, un intensivo sistema formativo importado desde EEUU a Euskadi para formar en tiempo récord expertos programadores","BBK ha realizado una convocatoria de becas para su cuarto campus BBK BOOTCAMP, un sistema intensivo de formación que viene de EEUU a Euskadi para formar expertos programadores en tiempo récord"
1997tik Bartzelonako Harlem Jazz Club-eko “Constes i Cuentos” helduentzako ipuin-zikloaren programatzailea da. Pirinioetan egiten duten “Un Río de Cuentos” Kontalarien Nazioarteko Topaketaren zuzendaria da.,"Desde el año 1997 es programadora del ciclo de cuentos para adultos ""Contes i Cuentos"" del Harlem Jazz Club Cree que la narración oral es un arte, el arte de la relación a través de la palabra.","Desde 1997 es programador de un ciclo de cuentos para adultos de Harlem Jazz Club en Barcelona, con la presencia de la directora del Encuentro Internacional de Relatos Río de Cuentos1900 que se celebra en los Pirineos."
"MOODLE-KO SARBIDEA Business Enpresen behar espezifikoei egokitutako prestakuntza profesionalei zuzendua: programatzaileak, sistemen administratzaileak, diseinatzaileak, etab.",ACCESO A MOODLE Business Servicios de formación adaptados a las necesidades específicas de las empresas,"ACCESO DE MOODLE dirigido a formación profesional adaptada a las necesidades específicas de Business: programadores, administradores de sistemas, diseñadores, etc."
"Kategoria:Bideojoko programatzaileak - Wikipedia, entziklopedia askea. Laguntza","Categoría:Programas de radio de Filipinas - Wikipedia, la enciclopedia libre","Categoría: Programadores de videojuegos - Wikipedia, enciclopedia libre. Ayuda"
"Proiekzioekin batera hitzaldiak ere izango dira; haietan Losierrek luze eta zabal esplikatuko ditu bere elkarlanen nondik norakoak, bere prozedura kreatiboak eta abangoardiako zinemaz duen ezagutza; horiek guztiak eraman du erakusketa eta zikloen kultur programatzailea izatera New Yorkeko Alliance Française Institutuan, baita maila goreneko zenbait artegune eta jaialditan ere.","Las proyecciones se acompañarán de charlas en las que Losier explicará profusamente las claves de sus colaboraciones, sus procedimientos creativos y su conocimiento del cine de vanguardia, que la han llevado a ejercer como programadora cultural de exposiciones y ciclos en el Instituto de la Alianza Francesa de Nueva York, entre otros centros de arte y festivales de primer orden.","Junto a las proyecciones también habrá conferencias en las que Losier explicará extensamente los pormenores de sus colaboraciones, sus procedimientos creativos y su conocimiento del cine de vanguardia, todo ello llevado a ser programador cultural de exposiciones y ciclos en el Instituto Alliance Française de Nueva York, así como a algunos de los centros artísticos y festivales de mayor categoría."
"FSFk gainera programatzaileak kontratu zituen GNU proiektuan lan egiteko, baina garapenaren zati handi bat (eta honela jarraitzen du izaten) bolondresek egin zuten.","La FSF también contrató programadores para contribuir a GNU, aunque una porción sustancial del desarrollo fue (y continúa siendo) producida por voluntarios.","La FSF había contratado además a los programadores para trabajar en el proyecto GNU, pero buena parte del desarrollo (y sigue siendo así) lo hicieron voluntarios."
"Musikari eta programatzaileak, aukera baten bila","Músicos y programadores, en busca de oportunidades","Músicos y programadores, buscando una opción"
Programatzailea bazara eta erronkak gustatzen bazaizkizu...,Si eres programador/a y te gustan los retos…,Si eres programador y te gustan los retos...
"Irabazleak 36 urteko Josetxo Pérez Fernández, sistema-administratzailea eta Pedro Domecq Aguirre, 45 urtetako programatzailea, hiru dimentsiotako espezialista eta sare-administratzailea.","El ganador ha sido un equipo formado por Josetxo Pérez Fernández, de 36 años, administrador de sistemas y Pedro Domecq Aguirre, 45 años, programador, especialista en datos 3D y administrador de redes.","Los ganadores fueron Josetxo Pérez Fernández de 36 años, administrador de sistemas y Pedro Domecq Aguirre, programador de 45 años, especialista en tres dimensiones y administrador de redes."
Fabrikazio mekanikoko sistema automatizatuen programatzailea.,Programadora o Programador de sistemas automatizados en fabricación mecánica.,Programador de sistemas automatizados de fabricación mecánica.
"Artistei laguntasuna emateko PICA egitasmo intentsiboan aukeratutako 16 pertsonak, Pyrenart proiektuko kide diren erakundeak –biak ere Bilboko Udala kide duten ekimenak–, nazioarteko programatzaileak eta artistak gaur arratsaldetik aurrera elkartuko dira, ikuskizunetan eta tailerretan eta lan saioetan.","Las 16 personas seleccionadas en el proyecto intensivo de acompañamiento de artistas PICA, las entidades socias del proyecto Pyrenart, –iniciativas en las que participa el Ayuntamiento de Bilbao–programadores internacionales y artistas se darán cita desde esta tarde, tanto en espectáculos como en talleres y sesiones de trabajo.","16 personas elegidas en el programa intensivo PICA, las entidades que forman parte del proyecto Pyrenart -las dos también del Ayuntamiento de Bilbao, programadoras internacionales y artistas se reunirán a partir de esta tarde en espectáculos y talleres y sesiones de trabajo."
"Ukraniako Aleksandr Balagura zinemagileak, Italiako Daniele Dottorini kritikariak eta programatzaileak, Frantziako Alain Fleischer zuzendariak, Ipar Amerikako Toby Lee artistak eta Argentinako Vivi Tellas dramagileak osatuko dute Punto de Vista Jaialdiaren hamaikagarren edizioaren Nazioarteko Epaimahaia.","Aleksandr Balagura, Daniele Dottorini, Alain Fleischer, Toby Lee y Vivi Tellas integrarán el Jurado Fleischer, la artista norteamericana Toby Lee y la dramaturga argentina Vivi Tellas serán los miembros del Jurado Internacional de esta undécima edición del Festival Punto de Vista.","El cineasta ucraniano Aleksandr Balagura, el crítico y programador Daniele Dottorin de Italia, el director francés Alain Fleischer, el artista norteamericano Toby Lee y el dramaturgo vasco Vivi Tellas, constituirán el Jurado Internacional de la undécima edición del Festival Punto de Vista."
Programatzailea konputagailuak uler dezakeen programazio lengoaia erabiliz prototipoak ezartzeaz arduratzen da.,"El programador se encarga de la implementación de prototipos mediante un lenguaje de programación, que compilados pueda entender la computadora.",El programador se encarga de establecer prototipos utilizando el lenguaje de programación que la computadora puede entender.
"Legoaiaren sortzaileak, Yukihiro ""Matz"" Matsumoto, programatzailea dibertitzeko eta bere produktibitatea zabaltzeko diseinatuta dagoela esan du, erabiltzaileentzat interface ona diseinuko printzipioa jarraituz[1] Gizakien beharrak makinenak baino gehiago kontuan hartu behar direla pentsatzen du:[2] «","El creador del lenguaje, Yukihiro ""Matz"" Matsumoto, ha dicho que Ruby está diseñado para la productividad y la diversión del desarrollador, siguiendo los principios de una buena interfaz de usuario.[1] Sostiene que el diseño de sistemas necesita enfatizar las necesidades humanas más que las de la máquina:[2]","El creador del legoa, Yukihiro ""Matz"" Matsumoto, ha señalado que el programador está diseñado para divertirse y difundir su productividad, siguiendo el principio de diseño de una buena interface para los usuarios[1] que las necesidades humanas deben tener más en cuenta que las de las máquinas:[2] }"
Programatzailearen zeregin bakarra analistaren argibideak ordenagailuak egikaritu ditzakeen kodeetan ezartzea da.,El programador cuya única función consistía en trasladar las especificaciones del analista en código ejecutable para la computadora.,La única función del programador es establecer las instrucciones del analista en los códigos que puede ejecutar el ordenador.
"Irratiko programatzailea eta zinema zalea izan zen; hamalau filmetan parte hartu zuen, paper garrantzitsuak ere bete izan zituelarik.","Fue programador de radio y gran aficionado al cine, actuó en catorce películas, llegando a interpretar papeles estelares.","Fue programador de radio y aficionado al cine; participó en catorce películas, desempeñando importantes papeles."
Antzerki programatzaileak Dantza tailerrak,Organizador de espectáculos de danza,Talleres de danza programadores de teatro
"Oinarrizko programazioko kontzeptuak, ikasketa modularrak, interaktibotasuna eta guztiz guztiz pertsonalizagarria den zentzu handiak, zer moduz aldatu beharko litzatekeen programatzailea?","Conceptos básicos de programación, aprendizaje modular, interactividad y una gran dosis de ternura que es casi completamente personalizable, ¿qué más necesitaría el programador en ciernes?","Los conceptos de programación básica, los estudios modulares, la interacción y los grandes sentidos totalmente personalizables, ¿cómo se debería cambiar el programador?"
"Jarduera “berezia” da, baina beste jarduera ugari multzokatzen dituena ere bai: “komisarioa” programatzailea, ekoizlea, kritikoa, irakaslea, idazlea… ere bada, edo Serge Daneyren hitzetan, passeurra.","Actividad “singular”, es también un compendio de muchas otras actividades: el “comisario” es a la vez programador, productor, crítico, docente, escritor… o en palabras de Serge Daney, passeur.","La actividad es especial. Pero también es una actividad que agrupa otras muchas actividades: el programador 1977comisario GNU, el productor, el crítico, el profesor, el escritor... o, según Serge Daney, el passeur."
"Tess Renaudo (Bartzelona) L’Alternativa, Bartzelonako Zinema Independente Jaialdia, zuzendaritza-taldeko kideetako bat da eta jaialdiko programatzailea da lehiaketako filmak koordinatzeaz gain.",Tess Renaudo (Barcelona) forma parte del equipo directivo de del festival además de coordinar los films a competición.,"El Festival de Cine Independiente de Barcelona Tess Renaudo (Barcelona), es uno de los miembros del equipo directivo y es programador del festival además de coordinar las películas del certamen."
"[Diru horrekin, kazetariari, programatzaileari eta bistaratzaileari ordainduko zaie] KUDEAKETA-PLANIK EZ.","[Con este dinero se pagará al periodista, al programador y al visualizador] SIN PLANES DE GESTION.","[Con este dinero, se abonarán al periodista, programador y visualista] POR PLANES DE GESTIÓN."
"Gaur bertan, programatzaileak eta sortzaileak elkarrekin hasiko dira lanean han.","Hoy mismo, programadores y creadores comenzarán a trabajar juntos allí.","Hoy mismo, los programadores y creadores comenzarán a trabajar juntos."
CNCko programatzailea.,Programadora o Programador de CNC.,Programador de CNC.
"Hasiera Albisteak Larraioz enpresa gipuzkoarrak Diasporako teknikari, ingeniari eta programatzaileak eskatzen ditu; CVak urriaren 31era arte","busca en la Diáspora técnicos/as, ingenieros/as y programadores/as; envío de CVs hasta el 31/10","Inicio Noticias La empresa guipuzcoana Larraioz solicita técnicos, ingenieros y programadores de la Diáspora, hasta el 31 de octubre"
Zure gailuaren overclockinga hackeatu duen programatzailea naiz.,Soy el programador que hackeó el 0C de su dispositivo.,Soy el programador que hackeó el overclocking de su dispositivo.
