Basque (eu),Spanish (es),es_traduction
"Agur, erizaina.","Adiós, enfermera.",Erreur
"Bat robota, bi robota, hiru robota. Zoazte lehenbailehen erizaindegira.","Robot uno, robot dos, robot tres, dirigíos inmediatamente a la enfermería.",Erreur
"Baliteke, baina ikusi, Orain espekulatu dezakedan bakarra, Ratched erizaina da nire bizitzaren izatea, nire emaztearekin edo gabe giza harremanei dagokienez, iustaposizioa pertsona batetik bestera, forma, edukia.","Es posible. Pero lo único sobre lo que puedo especular es la existencia misma de mi vida con o sin mi esposa en lo que concierne a las relaciones humanas, la yuxtaposición de una persona a otra, la forma y el contenido.",Erreur
Gaixoak ezin dira sartu erizainen bulegoan.,-Señor McMurphy. Esta oficina está prohibida a los pacientes.,Erreur
Gaixoak ezin dira sartu erizainen bulegoan.,A los pacientes no les está permitido entrar aquí. ¿Entiende?,Erreur
"Ondo da, Pilbow erizaina.","Está bien, enfermera Pilbow.",Erreur
"Finalei buruz ari naiz, Ratched erizaina.",Estoy hablando de la Serie Mundial.,Erreur
Beharbada erakutsiko dio Ratched erizainari bere buztan handia eta hark atea irekiko dio.,"Si le muestra su ""instrumento"" a la enfermera Ratched puede ser que le abra la puerta.",Erreur
"Ratched erizaina! Ratched erizaina, begira. Begira.","¡Enfermera Ratched, mire!",Erreur
"Erizain puta hori, jauna.",Esa jodida enfermera.,Erreur
Ratched andrea da erizainik onenetakoa erakunde honetan.,La señorita Ratched es una de nuestras mejores enfermeras.,Erreur
"Utzi didazu Ratched erizaina zirikatzen jakinda zenbat nuen galtzeko, eta zuk ezer esan ez.",¡Me has dejado joder a la enfermera Ratched sin avisarme cuánto estaba arriesgando!,Erreur
"Erizaina, hau Cheswick jauna da.","Enfermera, este es el señor Cheswick.",Erreur
Zer moduz Ratched erizaina?,"¿Cómo está, enfermera Ratched?",Erreur
"Oso ondo, Ratched erizaina.","Está bien, enfermera Ratched.",Erreur
- Erizaindegira joan nahi al duzu?,¿Quieres ir a la enfermería?,Erreur
Eta esaiozu hori bera gaueko erizainari.,"- Díselo a la enfermera de noche. - Sí, señor.",Erreur
- Erizaindegira eraman behar dugu.,- Tenemos que llevarle a la enfermería.,Erreur
"Ripley, elkartu nirekin erizaindegian.","Ripley, reúnete conmigo en la enfermería.",Erreur
"Erizainarena egin ordez, aldatu pilak irratiari.",En vez de hacer de enfermero... si quieres ser útil cambia las pilas de la radio.,Erreur
Erizain-sindromea da hori.,Ése es el efecto enfermeras.,Erreur
"Ospitaletan gertatzen da, erizainak pazienteez maitemintzen direnean.",Ocurre en los hospitales cuando se enamoran de sus pacientes.,Erreur
- Erizainarekin?,- ¿La enfermera?,Erreur
5 minutu! ERIZAINA,volveré a buscarlo en cinco Minutos.,Erreur
"Zernahi esaten didazula ere, gela honetan geratuko da. Erizaina naiz.",Sabes que Io que Me digas no saldrá de estas cuatro paredes.,Erreur
Zer erizain mota zara zu? Barkatu.,La deMandareMos.,Erreur
Ekarri umea eta erizaina.,Quizás ellos puedan explicar esto.,Erreur
Zure erizaina izatea.,Ser tu enfermero.,Erreur
Zure erizain eta zaindaria.,Tu enfermero y tu cuidador.,Erreur
Erizain on bat etorri zait bisitan.,Una enfermera muy buena me visitó.,Erreur
- Erizaina.,- Enfermera.,Erreur
"Erizaina, benetan, hitz egizue sukaldekoekin.","Enfermera, en serio, será mejor que hable con esa cocina.",Erreur
"Erizainak,",Enfermeras...,Erreur
Erizainari deituko diot.,Tenemos que llamar a la enfermera.,Erreur
"O sea: erizaina da, injekzioa jartzen ari zaio.",Ella le aplica una inyección. ¿Okey?,Erreur
Erizainentzako testu liburu bat bezalakoa da.,Es como un libro de texto para enfermeras.,Erreur
"Bezero bat gaisorik dugu hemen, erizaina.","Tenemos un paciente, enfermera.",Erreur
- milioiak egon dira jokoan hilketa eta drogetan - Erizaina!,¡Enfermera!,Erreur
Erizainak deitu dituzte eta...,Los paramédicos acudieron a la escena...,Erreur
Nire bezero bat pediatra baten klinikan erizaina da.,Uno de mis clientes es una enfermera en el consultorio de un pediatra.,Erreur
Esaiozu erizain buruari geratzeko.,Dígale a la enfermera principal que se quede.,Erreur
Pediatriako erizaina naiz.,Soy enfermera de niños.,Erreur
"Lurretik ez mugitu, ni erizaintza gelatik etorri arte.",Todos mantengan los pies en el piso mientras lo llevo a la enfermería.,Erreur
- Zoaz erizaintza gelara.,-Ve a la enfermería.,Erreur
"Mutilak, elkarrizketa gustukoa dut baina erizain bat dago hor.","Chicos, encantado de charlar, pero hay una enfermera ahí.",Erreur
Batzuetan barran egoten den eta noizbehinka korista den... erizaina.,Una enfermera que a ratos hace de corista... y a veces sirve en la barra.,Erreur
Potter erizaindegira eramango dugu poxpolo kaxa batean sartuta.,Enviaremos a Potter a la enfermería en una cajita de fósforos.,Erreur
"Bai, bai... emaztearentzako erizain pertsonala nahi nuke.","Sí... Sí... Sí, es correcto.",Erreur
Erizainek bularra mailukatuko diote.,Los paramédicos le presionarán el pecho. ¡Lo maté!,Erreur
Erizaintza ikasketak-edo egin nahi du.,"Quiere trabajar con niños, o algo así.",Erreur
Erizaintza pediatrikoa ikasi duzu?,¿Estudió enfermería pediátrica? Sí.,Erreur
"""Zerura"", esaten zieten erizainek.","""Al cielo"", decían las enfermeras.",Erreur
Zu erizaina zara.,Ud. es enfermera.,Erreur
"- Buruan gauza pare bat ditut, baina... ortodontzia, kontabilitatea, hotel baterako gerentea... edo erizaintza.","- Pienso en un par de cosas, pero... higiene dental o contabilidad, gerente de hotel  o quizá enfermería.",Erreur
erizain bat irten eta esan zidan:,Eres mi vida.,Erreur
"Aldizkarien azaletan bilioi dolar irabazi dituen jendea ipintzen dugu. Poliziei, suhiltzaileei, irakasleei, erizainei...","Y, al usar tanto la palabra hicieron que una nueva generación quisiera saber qué era.",Erreur
zurekin nago Rocklanden Bronxeko sorginzaharrak diren erizain atsoen gorputzen lepotik hitz-jokoak egiten dituzun lekuan zurekin nago Rocklanden non aldarrikatzen duzun piano katatonikoa kolpatuz arima errugabea dela hilezkorra eta ez lukeela sekula hil behar armatutako zoroetxe batean santutasunik gabe zurekin nago Rocklanden,"Estoy contigo en Rockland Donde te burlas de los cuerpos de tus enfermeras, las arpías del Bronx. Estoy contigo en Rockland",Erreur
Erizaina.,Enfermera!,Erreur
"Mesedez, kontatu Gretchen erizainari buruz.","Lo dijo alguien importante y olvidado, Gretchen Erfurt.",Erreur
Gizon horrek erizain bat hil zuen ospitalean.,Ese tipo mato una enfermera en el hospital. - Que?,Erreur
- Zer? - Erizaina hil zuela.,- Asesino a la enfermera!,Erreur
Erizaina!,¡Enfermera!,Erreur
"Ur apur bat gutxiago, mila esker erizaina.","Ese es un poco desprolijo, gracias enfermera.",Erreur
"- Sartuarazi ezazu, erizaina.","- Hágala pasar, enfermera","Comienza, erizaina."
Erizaina zen.,Era una enfermera.,Era una criada.
- Erizaina da.,- Ella es enfermera.,- Es adecuado.
Erizaina behar dut.,Necesito a la enfermera.,Necesito un asistente.
Galdetu erizainari.,Pregúntale a la enfermera.,Pregunta al ertzaina.
"Takigrafialariak, idazkariak, laborategi laguntzaileak... erizainak, kimikariak.","Taquígrafas, secretarias, asistentes de laboratorio enfermeras, químicas.","Auxiliares de laboratorio, enfermeras, químicos."
"Eskatu erizainarenak edozein dendatan, 2.95$.","Pide los de enfermera en cualquier tienda, $2.95.","Pide las cosas del erizaina en cualquier tienda, 2.95$."
Erizaina bezala.,Con una enfermera.,"Como asistente, puedo confirmar que ""Erizaina bezala"" se traduce del euskera al español como ""Como asistente""."
Erizainaren gelan.,En la sala de enfermería.,En la habitación del enfermero.
"Audrey, galdetu erizainari ea Victor ondo dagoen.","Audrey, pregúntale a la enfermera si Víctor está bien.","Audrey, pregunta al portero si Victor está bien."
- Erizaina.,Enfermera.,"Erizaina. 

(La palabra ""Erizaina"" en euskera se traduce al español como ""Insecto"" o ""Erizo"")"
Erizainak korrika pasatzen dira baina ez dira gelditzen.,El gobernador no está. No entiendo cómo las enfermeras pasan corriendo sin siquiera detenerse. Mira eso.,Los erizos corren pero no se detienen.
Erizaina naiz.,- Soy una enfermera.,Soy un asistente.
Begiratu ea erizainak hor dauden.,Es buena.,Miremos a ver si están los guardabosques.
"- Erizain, txorabiatu egin da.","- Enfermera, él se desmayó. - Oh, mierda.","Enfermero, se ha desmayado."
"""Bi erizain kopetilunek, pobreziak eta gaixotasunak, ume hauek dakartzate zuregana haien jaiotzaren aurretik, ...sehaska miserableak kolpatzen dituzte, zerraldotxoak iltzatzen, lurra pilatzen dute haien hilarrien gainean.","""Las dos enfermeras ceñudas, la pobreza y la enfermedad traen a estos niños ante usted y preceden sus nacimientos golpean sus cunas miserables, clavan sus pequeños ataúdes amontonan la tierra sobre sus tumbas.","""Dos guardianes con sombreros, la pobreza y las enfermedades, traen a estos niños hacia ti antes de su nacimiento, ... golpean cunas miserables, clavan clavos en pequeñas cajas, amontonan tierra sobre sus tumbas."
Uste dut erizainak barruko kamiseta lapurtu didala.,Creo que la enfermera se robó mi ropa interior.,Erreur
"Erizaintza, bai?",Enfermería.,Erreur
Erizaina?,- ¿Enfermera?,Erreur
Zerbait duzu erizainen kontra?,- ¿Tienes algo contra las enfermeras?,Erreur
Nire arreba erizaina da.,Mi hermana es enfermera.,Erreur
Erizainak oso onak dira haiekin oheratzeko.,Las enfermeras son muy calientes en la cama.,Erreur
Komentario bat zen. Erizain onak ezagutzen ditut.,Sólo digo que conozco a buenas enfermeras.,Erreur
Erizainek edo norbaitek nirekin hitz egin nahi badu... telefono honetan nago.,Si las enfermeras o alguien quiere hablar conmigo solo estoy en este teléfono.,Erreur
"Zera, erizainei deitzeko sakagailu bat edo.","No sé, un zumbador o algo para llamar a una enfermera.",Erreur
-Baina erizainak esan dit:,- Pero la enfermera dijo:,Erreur
"Gidari bat nahi dut, ez erizain bat.","Quiero un conductor, no una enfermera.",Erreur
Ez ote zeundeke hobeto erizain batekin?,¿No sería mejor una enfermera?,Erreur
Erizainek atsegin dituzte Arashiren marrazkiak.,A las enfermeras les gustan los dibujos de Arashi.,Erreur
Erizainak musu bat emango dizu.,- Enséñame. ¡Seguro que la enfermera va a querer darte un beso!,Erreur
Ez dut erizainik nahi.,"No. No, no. No quiero una enfermera.",Erreur
"Txinatarrak, atzelariak, landareak, erizain ederrak...","Hay chinos, maricas, hierbas, enfermeras sexys.",Erreur
"Zuretzat, Ratched erizaina","Quédese con eso, enfermera Ratched.",Erreur
Erizaindegi on batekin.,"Nuestra propia casa, con un cuarto grande para el niño.",Erreur
Arropa entsegua galdu dut... erizaindegian etzatera behartu nautelako.,Están haciendo que me pierda el ensayo general establecer en la enfermería.,Erreur
Erizainak haur-aspirina bakarrik ematen dit.,La enfermera sólo me dé aspirina bebé.,Erreur
Erizain bat ematen nuen bihotzekoa izan duen biktima bati laguntzen.,Parecía un paramédico reviviendo a la víctima de un choque.,Erreur
"Erizain putak dio ""papi"" sexuan zehar.","La enfermera puta dice ""papi"" durante el sexo.",Erreur
Eta zure eskailburuko erizaina?,¿Y la enfermera de tu rellano?,Erreur
Deitu erizainari.,Llama a la enfermera.,Erreur
Ez da erizaina.,No es una enfermera.,Erreur
"Erizain bikaina da, ezta?","Ella es una buena pequeña enfermera, ¿no?",Erreur
Erizainak zunda kenduko dit.,Le diré a la enfermera que me retire el catéter.,Erreur
Ez dugu erizainik behar.,No necesitamos enfermeras.,Erreur
Ama erizaina zen.,MI MADRE ERA ENFERMERA.,Erreur
Erizain-robota?,¿Una enfermera robótica?,Erreur
Nicken aitaz arduratzen diren erizainekin mintzatu naiz.,Hablé con las enfermeras del padre de Nick.,Erreur
20 erizain-ikasle hainbat modutan biluzik.,Estamos hablando quizá de 20 estudiantes de enfermería en diversos estados de desnudez.,Erreur
Bi erizain biluzik dantzan ari dira.,Dos enfermeras que bailan en el desnudo.,Erreur
Nire erizain zeregina da.,"Oh, Pooey. Es mi deber como enfermera.",Erreur
"Tokian dagoen larrialdietako erizain batek dio... denetik artatzen ari direla: anputatutako gorputz-adarrak, erredura larriak...",Una enfermera de urgencias en la escena acaba de contarnos que la carpa médica... está tratando de todo desde miembros amputados hasta quemaduras severas.,Erreur
Erizain bat zen.,Era un enfermero.,Erreur
"- Bada erizain gaiztoarena, zerbitzari gaiztoarena, ikasle urdangarena eta ama lotsagabearena.","- Bueno, hay enfermera traviesa, criada traviesa, colegiala putona y ama de casa desvergonzada.",Erreur
Duela urte batzuk. Isabellek metxeroa lapurtu zion erizain bati.,"Hace algunos años, Isabelle le robo un encendedor a una enfermera.",Erreur
Erizaina zara.,"Ah, eres enfermera.",Erreur
Santa Anna-ko erizain eskolan dago Duisburgen.,"! Sí, está estudiando en la escuela de enfermería de Santa Ana en Duisburgo.",Erreur
Erizain eskola!,¡Escuela de enfermería!,Erreur
"Eta erizainak esan zuen: ""hobe kamera itzaltzea"".","La enfermera dijo: ""Es posible que desee a su vez que la cámara de vídeo fuera.""",Erreur
Erizain guztiak bidaliko ditugu.,Mandaremos a todos los sanitarios posibles.,Erreur
Erizainek hornikuntzak bidaliko dituzte frontera 2 kaitik gauerdian.,Los sanitarios van a enviar suministros al frente desde el hangar 2 a medianoche.,Erreur
- Erizainak datoz!,-¡Llegan los sanitarios!,Erreur
Bere ama erizaina da.,Su mamá trabaja como enfermera.,Erreur
"Gogoan dut behin ospitalean, kimioaren 3. zikloan, oso makal, ibiltzen amaierarik bako pasabide batean, eta erizaina nigana dator aulki gurpildun batekin.","Recuerdo un tiempo en el hospital, el tercer ciclo de quimioterapia, Muy débil, haciendo mi camino hacia abajo un pasillo interminable. Y una enfermera se me acerca con una silla de ruedas.",Erreur
"Sainas, erizaina.","Sainas, paramédico.",Erreur
Ni erizaina nintzen Nairobiko Aga Khan ospitalean.,Yo era una enfermera registrada en el hospital Aga Khan en Nairobi.,Erreur
Erizainak--,La enfermera--,Erreur
Bistan da erizaina zarela ...,Se nota que eres enfermera.,Erreur
Gregek bikiak izan zituen erizain batekin.,Greg tuvo gemelos con una enfermera.,Erreur
"Erizaina, utziko gaituzu?","Enfermera, ¿nos da un minuto?",Erreur
Erizain postuko telefonoa erabil dezakezu.,Puede usar el teléfono del puesto de las enfermeras.,Erreur
Erizainak eta botikak?,¿Te quedaste en el hospital?,Erreur
Orduan zergatik egiten duzu zuk eta ez erizainak?,Entonces ¿por qué la preparas tú y no la enfermería?,Erreur
"Badakizu ez niola tiro egin erizainari erlijio sinesmenarengatik, denek hala uste badute ere?",¿Sabías que no le disparé a la enfermera por ninguna especie de principio religioso como todos piensan?,Erreur
"Ospitaletik alde egitean, erizainak George eman zidan manta batean bilduta, eta esan zidan:","Cuando me iba del hospital, la enfermera me entregó a George envuelto en una manta y me dijo:",Erreur
"Agian txakurrentzat sedante bat lapurtu nuen, edo lau, eta niretzat dauzkat, inoiz gaixotasunen bat nahi izanez gero eta oporretara joan ospitalera erizainei titiak ukitzera.","Tal vez haya robado un sedante canino, o cuatro, y los haya guardado para mí, en caso de que quisiera fingir un ataque e ir de vacaciones al hospital a toquetear enfermeras.",Erreur
Erizainak behar ditugu.,Necesitamos enfermeros.,Erreur
"Beharbada horrenbeste bizi naun han ezen ez dinaten ikusten, baina inork ez zion ezer egingo bere bezeroa zaintzera... etorri dunen erizainari.","Quizás es porque llevo viviendo allí mucho tiempo, ya no lo veo de esa manera. Pero nadie va a meterse con una enfermera que va a ver a un cliente.",Erreur
Zaila dun erizainak honaino ekartzea.,Los asistentes no quieren venir aquí.,Erreur
Erizainak berarekin daude.,Las enfermeras están con ella.,Erreur
Erizaina?,Enfermera.,Erreur
Erizain baten bila noa?,¿Y no han comenzado la sedación?,Erreur
Ekarri erizaina!,"Por favor, avisa a la enfermera.",Erreur
Eta ez nekien opari bat erosi eta festa bat egin baina nahi nuen guztia zen erizaina joatea. Eta biok geratzea lehen bezala.,Y no supe si comprarle un regalo o hacerle una fiesta pero lo que quise fue que esa enfermera se fuera y que quedáramos los dos como antes.,Erreur
Ni erizain-ikasketak egiten ari naiz.,Hago enfermería.,Erreur
Gero Jujubek erizaindegira joateko baimena eskatzen du. Hortzetako pastagatik.,Gomita pidió permiso para ir a la enfermería por la pasta de dientes que se comió.,Erreur
Terroristek 19 erizain hil dituzte eta 30 desagertuta daude.,Los terroristas han matado a 19 miembros de los equipos sanitarios y hay otros 30 desaparecidos.,Erreur
Bidali erizainak aparkalekura. Hirugarren solairua.,Necesitamos paramédicos en el estacionamiento.,Erreur
"Tyrone Woodsek dio, emaztearentzat lan egiten duen hortz-erizainak?","¿Lo dice Tyrone Woods, enfermero dental que trabaja para su esposa?",Erreur
"Berandu hasi nintzen, 10 urtez erizain izan eta gero.","Comencé a estudiar tarde, fui enfermera por 10 años.",Erreur
"Erizaina naiz, ez albaitaria.","Soy enfermera, no veterinaria.",Erreur
"Fisioterapeuta, ortofonista, erizaina...","Un fisioterapeuta, un fonoaudiólogo, una enfermera.",Erreur
"Ikasketei berrekin zien, ekintzailea dela frogatuz. Eta urgentzietako maniobrak menperatzen dituen erizaina da.","Retomó sus estudios, lo que demuestra que es emprendedora y es una enfermera que domina las maniobras de urgencia.",Erreur
Erizainak!,¡Camilleros!,Erreur
"Fanny, gure erizaina.","Fanny, nuestra enfermera.",Erreur
Ama erizaina da,Mi madre es enfermera.,Erreur
"- Lagundu, burutik odoletan ari da Hil egingo da, erizain bat dago hemen.","Ayúdenlo, sangra mucho. - Va a morirse. - Aquí hay una enfermera.",Erreur
Erizaina nintzen.,Era enfermero.,Erreur
- Murphy! - Erizaina!,- ¡Murphy!,Erreur
Ospitaleko erizaina.,La enfermera en el hospital.,Erreur
"Erizaina, egia esan.",Enfermera.,Erreur
ERIZAINDEGIA,ENFERMERÍA,Erreur
- Yoko erizaindegian dago!,- Yoko está en la enfermería.,Erreur
"Erizaina zara, ez mirabea.","Es su enfermera, no su criada.",Erreur
Esan nion erizainari zorterik banu ez nintzatekeela hemen egongo.,"Aunque, como le dije a la enfermera, suerte sería no estar aquí.",Erreur
Zure erizain zenbakia jartzen duzu.,Pones tu número de enfermero.,Erreur
"Itzela da, primerako erizaina.",Una enfermera maravillosa.,Erreur
"Gau honetan zuen erizaina izango da, baina behar banauzue hemendik egongo naiz.","Será su enfermero esta noche, pero estoy cerca si me necesitan.",Erreur
Erizain batek Pennsylvanian egoitza bat bortxatzeagatik karguak ditu.,Un enfermero fue acusado de violar propiedad privada en Pensilvania.,Erreur
Erizain batek?,¿Un enfermero?,Erreur
Loughren erizaina.,Enfermera Loughren.,Erreur
Erizain bikaina da.,Es un excelente enfermero.,Erreur
Erizainen medikamentu-erretiratze guztiak agertzen dira.,Registra los retiros de medicamentos de todos los enfermeros.,Erreur
"Garran erizaina, frogak ezkutatzen ari zarela dirudi.","Enfermera, parece que está ocultando evidencia.",Erreur
Loughren erizaina?,¿Enfermera Loughren?,Erreur
Fitxategiak eta elkarrizketatutako erizain bat.,Con los reportes.,Erreur
Non dago erizaina?,¿Dónde está la enfermera?,Erreur
Zure lagun erizainak hitz egin nahiko du?,¿Tu amiga enfermera hablaría con nosotros?,Erreur
"Mesedez, Linda Garran erizaina izan zen behin.","Vamos, chicos. Linda Garran solía ser enfermera.",Erreur
"Poltsak nola pozoitu dituzun dakigu, beste erizainek zintzilikatu zitzaten.",Sabemos que envenenaste las bolsas en el depósito. Otras enfermeras las colgaron.,Erreur
CULLEN ERIZAIN IZAN ZEN HAMASEI URTEZ.,CULLEN FUE ENFERMERO DURANTE 16 AÑOS.,Erreur
ERIZAIN ONA IZATEN JARRAITZEN DU.,SIGUE SIENDO UNA GRAN ENFERMERA.,Erreur
"Bere ama erizain laguntzailea da, ez du asko irabazten.",Su mamá es asistente de enfermería y no tiene dinero de sobra.,Erreur
"Trauma osteko estres-nahasmendua daukazula uste baduzu  edo zure osasun mentalari buruz profesional batekin hitz egin nahi baduzu, erizain bat egongo da larunbat goizetan bosgarren hangarrean.","Si crees que podrías padecer estrés postraumático o te gustaría hablar de salud mental con un profesional, los sábados habrá una enfermera en el hangar cinco.",Erreur
Erizain bat eserita dago.,"Allí sentada, una enfermera.",Erreur
Erizain ingeles bat.,Una enfermera inglesa.,Erreur
Erizain ingelesa izango zara.,Usted debe ser la enfermera inglesa.,Erreur
"Erizain bat eta moja bat behar ditut, eta ez zara moja.","Espero a una monja y a una enfermera, y usted no es la monja.",Erreur
"Zergatik ez bi erizain, McBrearty doktorea?","¿Por qué no somos dos enfermeras, doctor McBrearty?",Erreur
"Arreba Michael bigarren erizaina da, Wright andrea.","La hermana Michael es la segunda enfermera, señora Wright.",Erreur
"Mila esker, Wright erizaina.","Gracias a usted, enfermera Wright.",Erreur
Zer nolako herri atzeratuak ekartzen du erizain bat horretarako?,¿Qué clase de pueblo atrasado trae a una enfermera para algo así?,Erreur
"Krimean izan ziren erizaina, ezta?",¿No fue enfermera en Crimea?,Erreur
Ez du zerikusirik erizaintzarekin.,Esto no tiene nada que ver con la enfermería.,Erreur
Zaintzera etorri den erizaina.,"Como Florence Nightingale, vino a cuidarla.",Erreur
"Wright erizaina zuretzat, neska.",Enfermera Wright para ti.,Erreur
Erizaina da.,Esa es la enfermera.,Erreur
"Gu zalantzan jartzea ez da zure lana, erizaina.","No es su trabajo cuestionarnos, enfermera.",Erreur
"Zientziako aurkikunde handiek, Arkimedesetik Newtoneraino, hasieran magia beltza ziruditen, ezta, erizaina?","Los grandes descubrimientos de la ciencia, desde Arquímedes hasta Newton, siempre parecieron magia negra al principio, ¿no, enfermera?",Erreur
Erizaina zara.,Usted es enfermera.,Erreur
"Akatsa izan da, izugarrizko akatsa, erizain bat hona ekartzea.",Fue un terrible error traer a una enfermera.,Erreur
Erizain ingelesa.,Una enfermera inglesa.,Erreur
Erizainak ez zuen idatzi.,Ella no escribió eso.,Erreur
batzorde honen langile gisa lanean ari zen erizainari?,que estaba actuando bajo órdenes de este comité.,Erreur
Erizain eta senide gehienak bizirik utzi ditu.,Dejó a personal de enfermería y familiares.,Erreur
Duela hilabete batzuk erizain gisa kontratatu zuten.,El tío fue contratado como enfermero hace meses.,Erreur
- Erizainari susto bat eman nahi nion.,[Maggie] Quería darle un susto a la enfermera.,Erreur
"Zorionez, erizaina etxean zegoen.",-Suerte que estaba la enfermera.,Erreur
Ez du erizain bat behar.,No necesita una enfermera.,Erreur
Erizain eta suhiltzaile baten alaba.,Hija de una enfermera y un bombero.,Erreur
"Usain gogor eta sarkorra zabaldu zen gelan, oroitzapen desatseginak ekarriz: erizainak eta zirujauak gela zuri batean.","El olor pesado, nauseabundo del cloroformo se extendió y trajo recuerdos desagradables de enfermeras y cirujanos en un cuarto blanco con una mesa.",Erreur
Erizaina bidaliko dut zaintzarekin laguntzeko.,La enfermera le dará instrucciones de cuidado.,Erreur
