Basque (eu),Spanish (es),Traduccion
Nire bezero bat pediatra baten klinikan erizaina da.,Uno de mis clientes es una enfermera en el consultorio de un pediatra.,Mi cliente es enfermera en la clínica de un pediatra.
Esaiozu erizain buruari geratzeko.,Dígale a la enfermera principal que se quede.,Dile a la enfermera jefa que se quede.
Pediatriako erizaina naiz.,Soy enfermera de niños.,Soy enfermera de pediatría.
"Lurretik ez mugitu, ni erizaintza gelatik etorri arte.",Todos mantengan los pies en el piso mientras lo llevo a la enfermería.,"No te muevas del suelo, hasta que yo venga de la enfermería."
- Zoaz erizaintza gelara.,-Ve a la enfermería.,Ve a la enfermería.
"Mutilak, elkarrizketa gustukoa dut baina erizain bat dago hor.","Chicos, encantado de charlar, pero hay una enfermera ahí.","Chicos, me gusta la conversación, pero hay una enfermera allí."
Batzuetan barran egoten den eta noizbehinka korista den... erizaina.,Una enfermera que a ratos hace de corista... y a veces sirve en la barra.,La enfermera que a veces está en el bar y de vez en cuando es corista.
Potter erizaindegira eramango dugu poxpolo kaxa batean sartuta.,Enviaremos a Potter a la enfermería en una cajita de fósforos.,"Llevaremos a Potter a la enfermería, metido en una caja de cerillas."
"Bai, bai... emaztearentzako erizain pertsonala nahi nuke.","Sí... Sí... Sí, es correcto.","Sí, sí... querría una enfermera personal para mi esposa."
Erizainek bularra mailukatuko diote.,Los paramédicos le presionarán el pecho. ¡Lo maté!,Las enfermeras le martillarán el pecho.
Erizaintza ikasketak-edo egin nahi du.,"Quiere trabajar con niños, o algo así.",Quiere hacer estudios de enfermería o algo así.
Erizaintza pediatrikoa ikasi duzu?,¿Estudió enfermería pediátrica? Sí.,¿Has estudiado enfermería pediátrica?
"""Zerura"", esaten zieten erizainek.","""Al cielo"", decían las enfermeras.","Las enfermeras les decían: ""¡Al cielo!"""
Zu erizaina zara.,Ud. es enfermera.,Tú eres enfermera.
"- Buruan gauza pare bat ditut, baina... ortodontzia, kontabilitatea, hotel baterako gerentea... edo erizaintza.","- Pienso en un par de cosas, pero... higiene dental o contabilidad, gerente de hotel  o quizá enfermería.","En mi cabeza tengo un par de cosas, pero... ortodoncia, contabilidad, gerente para un hotel... o enfermería."
erizain bat irten eta esan zidan:,Eres mi vida.,Una enfermera salió y me dijo:
"Aldizkarien azaletan bilioi dolar irabazi dituen jendea ipintzen dugu. Poliziei, suhiltzaileei, irakasleei, erizainei...","Y, al usar tanto la palabra hicieron que una nueva generación quisiera saber qué era.","Ponemos en las portadas de las revistas a la gente que ha ganado billones de dólares. A los policías, a los bomberos, a los profesores, a los enfermeros..."
zurekin nago Rocklanden Bronxeko sorginzaharrak diren erizain atsoen gorputzen lepotik hitz-jokoak egiten dituzun lekuan zurekin nago Rocklanden non aldarrikatzen duzun piano katatonikoa kolpatuz arima errugabea dela hilezkorra eta ez lukeela sekula hil behar armatutako zoroetxe batean santutasunik gabe zurekin nago Rocklanden,"Estoy contigo en Rockland Donde te burlas de los cuerpos de tus enfermeras, las arpías del Bronx. Estoy contigo en Rockland","Estoy contigo en Rockland donde haces juegos de palabras a expensas de los cuerpos de las viejas enfermeras brujas del Bronx, estoy contigo en Rockland donde proclamas, golpeando el piano catatónico, que el alma inocente es inmortal y que nunca debería morir sin santidad en un manicomio armado, estoy contigo en Rockland."
Erizaina.,Enfermera!,Enfermera
"Mesedez, kontatu Gretchen erizainari buruz.","Lo dijo alguien importante y olvidado, Gretchen Erfurt.","Por favor, cuenta sobre la enfermera Gretchen."
Gizon horrek erizain bat hil zuen ospitalean.,Ese tipo mato una enfermera en el hospital. - Que?,Ese hombre mató a una enfermera en el hospital.
- Zer? - Erizaina hil zuela.,- Asesino a la enfermera!,- ¿Qué? - Que mató a la enfermera.
Erizaina!,¡Enfermera!,¡Enfermera!
"Ur apur bat gutxiago, mila esker erizaina.","Ese es un poco desprolijo, gracias enfermera.","Un poco menos de agua, mil gracias enfermera."
"- Sartuarazi ezazu, erizaina.","- Hágala pasar, enfermera","Hágalo pasar, enfermera."
Erizaina zen.,Era una enfermera.,Era enfermera.
- Erizaina da.,- Ella es enfermera.,Es enfermero/a.
Erizaina behar dut.,Necesito a la enfermera.,Necesito una enfermera.
Galdetu erizainari.,Pregúntale a la enfermera.,Pregunta a la enfermera.
"Takigrafialariak, idazkariak, laborategi laguntzaileak... erizainak, kimikariak.","Taquígrafas, secretarias, asistentes de laboratorio enfermeras, químicas.","Taquígrafos, secretarios, ayudantes de laboratorio... enfermeros, químicos."
"Eskatu erizainarenak edozein dendatan, 2.95$.","Pide los de enfermera en cualquier tienda, $2.95.","Pide los de la enfermera en cualquier tienda, 2.95$."
Erizaina bezala.,Con una enfermera.,Como enfermera
Erizainaren gelan.,En la sala de enfermería.,En la habitación de la enfermera.
"Audrey, galdetu erizainari ea Victor ondo dagoen.","Audrey, pregúntale a la enfermera si Víctor está bien.","Audrey, pregunta a la enfermera si Victor está bien."
- Erizaina.,Enfermera.,Enfermera
Erizainak korrika pasatzen dira baina ez dira gelditzen.,El gobernador no está. No entiendo cómo las enfermeras pasan corriendo sin siquiera detenerse. Mira eso.,Las enfermeras pasan corriendo pero no se detienen.
Erizaina naiz.,- Soy una enfermera.,Soy enfermera.
Begiratu ea erizainak hor dauden.,Es buena.,Mira a ver si las enfermeras están ahí.
"- Erizain, txorabiatu egin da.","- Enfermera, él se desmayó. - Oh, mierda.","Enfermera, se ha desmayado."
"""Bi erizain kopetilunek, pobreziak eta gaixotasunak, ume hauek dakartzate zuregana haien jaiotzaren aurretik, ...sehaska miserableak kolpatzen dituzte, zerraldotxoak iltzatzen, lurra pilatzen dute haien hilarrien gainean.","""Las dos enfermeras ceñudas, la pobreza y la enfermedad traen a estos niños ante usted y preceden sus nacimientos golpean sus cunas miserables, clavan sus pequeños ataúdes amontonan la tierra sobre sus tumbas.","Dos enfermeras sombrías, la pobreza y la enfermedad, te traen a estos niños antes de su nacimiento, ...golpean las cunas miserables, clavan los ataúdes pequeños, amontonan la tierra sobre sus lápidas."
Uste dut erizainak barruko kamiseta lapurtu didala.,Creo que la enfermera se robó mi ropa interior.,Creo que la enfermera me ha robado la camiseta interior.
"Erizaintza, bai?",Enfermería.,"Enfermería, ¿sí?"
Erizaina?,- ¿Enfermera?,¿Enfermera?
Zerbait duzu erizainen kontra?,- ¿Tienes algo contra las enfermeras?,¿Tienes algo contra las enfermeras?
Nire arreba erizaina da.,Mi hermana es enfermera.,Mi hermana es enfermera.
Erizainak oso onak dira haiekin oheratzeko.,Las enfermeras son muy calientes en la cama.,Las enfermeras son muy buenas para acostarse con ellos.
Komentario bat zen. Erizain onak ezagutzen ditut.,Sólo digo que conozco a buenas enfermeras.,Era un comentario. Conozco buenas enfermeras.
Erizainek edo norbaitek nirekin hitz egin nahi badu... telefono honetan nago.,Si las enfermeras o alguien quiere hablar conmigo solo estoy en este teléfono.,Si los enfermeros o alguien quiere hablar conmigo... estoy en este teléfono.
"Zera, erizainei deitzeko sakagailu bat edo.","No sé, un zumbador o algo para llamar a una enfermera.","Eh, un botón para llamar a las enfermeras o algo."
-Baina erizainak esan dit:,- Pero la enfermera dijo:,-Pero la enfermera me ha dicho:
"Gidari bat nahi dut, ez erizain bat.","Quiero un conductor, no una enfermera.","Quiero un conductor, no un enfermero."
Ez ote zeundeke hobeto erizain batekin?,¿No sería mejor una enfermera?,¿No estarías mejor con una enfermera?
Erizainek atsegin dituzte Arashiren marrazkiak.,A las enfermeras les gustan los dibujos de Arashi.,A las enfermeras les gustan los dibujos de Arashi.
Erizainak musu bat emango dizu.,- Enséñame. ¡Seguro que la enfermera va a querer darte un beso!,La enfermera te dará un beso.
Ez dut erizainik nahi.,"No. No, no. No quiero una enfermera.",No quiero una enfermera.
"Txinatarrak, atzelariak, landareak, erizain ederrak...","Hay chinos, maricas, hierbas, enfermeras sexys.","Chinos, defensas, plantas, enfermeras guapas..."
"Zuretzat, Ratched erizaina","Quédese con eso, enfermera Ratched.","Para ti, enfermera Ratched"
Erizaindegi on batekin.,"Nuestra propia casa, con un cuarto grande para el niño.",Con una buena guardería.
Arropa entsegua galdu dut... erizaindegian etzatera behartu nautelako.,Están haciendo que me pierda el ensayo general establecer en la enfermería.,He perdido la prueba de ropa... porque me han obligado a tumbarme en la enfermería.
Erizainak haur-aspirina bakarrik ematen dit.,La enfermera sólo me dé aspirina bebé.,La enfermera solo me da aspirina para niños.
Erizain bat ematen nuen bihotzekoa izan duen biktima bati laguntzen.,Parecía un paramédico reviviendo a la víctima de un choque.,Parecía una enfermera ayudando a una víctima que había sufrido un ataque al corazón.
"Erizain putak dio ""papi"" sexuan zehar.","La enfermera puta dice ""papi"" durante el sexo.",La enfermera puta dice 'papi' durante el sexo.
Eta zure eskailburuko erizaina?,¿Y la enfermera de tu rellano?,¿Y tu enfermera de cabecera?
Deitu erizainari.,Llama a la enfermera.,Llama a la enfermera.
Ez da erizaina.,No es una enfermera.,No es enfermera.
"Erizain bikaina da, ezta?","Ella es una buena pequeña enfermera, ¿no?","Es una enfermera excelente, ¿verdad?"
Erizainak zunda kenduko dit.,Le diré a la enfermera que me retire el catéter.,La enfermera me quitará la sonda.
Ez dugu erizainik behar.,No necesitamos enfermeras.,No necesitamos una enfermera.
Ama erizaina zen.,MI MADRE ERA ENFERMERA.,Mi madre era enfermera.
Erizain-robota?,¿Una enfermera robótica?,¿Enfermero-robot?
Nicken aitaz arduratzen diren erizainekin mintzatu naiz.,Hablé con las enfermeras del padre de Nick.,He hablado con las enfermeras que cuidan al padre de Nick.
20 erizain-ikasle hainbat modutan biluzik.,Estamos hablando quizá de 20 estudiantes de enfermería en diversos estados de desnudez.,20 estudiantes de enfermería desnudos de varias maneras.
Bi erizain biluzik dantzan ari dira.,Dos enfermeras que bailan en el desnudo.,Dos enfermeras desnudas están bailando.
Nire erizain zeregina da.,"Oh, Pooey. Es mi deber como enfermera.",Es mi tarea de enfermera.
"Tokian dagoen larrialdietako erizain batek dio... denetik artatzen ari direla: anputatutako gorputz-adarrak, erredura larriak...",Una enfermera de urgencias en la escena acaba de contarnos que la carpa médica... está tratando de todo desde miembros amputados hasta quemaduras severas.,"Un enfermero de emergencias en el lugar dice que están atendiendo de todo: extremidades amputadas, quemaduras graves..."
Erizain bat zen.,Era un enfermero.,Era una enfermera.
"- Bada erizain gaiztoarena, zerbitzari gaiztoarena, ikasle urdangarena eta ama lotsagabearena.","- Bueno, hay enfermera traviesa, criada traviesa, colegiala putona y ama de casa desvergonzada.","Es el de la enfermera mala, el del sirviente malo, el del estudiante grosero y el de la madre descarada."
Duela urte batzuk. Isabellek metxeroa lapurtu zion erizain bati.,"Hace algunos años, Isabelle le robo un encendedor a una enfermera.","Hace algunos años, Isabelle le robó el mechero a una enfermera."
Erizaina zara.,"Ah, eres enfermera.",Eres enfermera.
Santa Anna-ko erizain eskolan dago Duisburgen.,"! Sí, está estudiando en la escuela de enfermería de Santa Ana en Duisburgo.",Está en la escuela de enfermería de Santa Ana en Duisburg.
Erizain eskola!,¡Escuela de enfermería!,¡Escuela de enfermería!
"Eta erizainak esan zuen: ""hobe kamera itzaltzea"".","La enfermera dijo: ""Es posible que desee a su vez que la cámara de vídeo fuera.""","Y la enfermera dijo: ""mejor apagar la cámara""."
Erizain guztiak bidaliko ditugu.,Mandaremos a todos los sanitarios posibles.,Enviaremos a todas las enfermeras.
Erizainek hornikuntzak bidaliko dituzte frontera 2 kaitik gauerdian.,Los sanitarios van a enviar suministros al frente desde el hangar 2 a medianoche.,Las enfermeras enviarán los suministros a la frontera desde el muelle 2 a medianoche.
- Erizainak datoz!,-¡Llegan los sanitarios!,¡Vienen los enfermeros!
Bere ama erizaina da.,Su mamá trabaja como enfermera.,Su madre es enfermera.
"Gogoan dut behin ospitalean, kimioaren 3. zikloan, oso makal, ibiltzen amaierarik bako pasabide batean, eta erizaina nigana dator aulki gurpildun batekin.","Recuerdo un tiempo en el hospital, el tercer ciclo de quimioterapia, Muy débil, haciendo mi camino hacia abajo un pasillo interminable. Y una enfermera se me acerca con una silla de ruedas.","Recuerdo una vez en el hospital, en el 3er ciclo de quimio, muy débil, caminando por un pasillo interminable, y la enfermera se acerca a mí con una silla de ruedas."
"Sainas, erizaina.","Sainas, paramédico.","Sainas, enfermera."
Ni erizaina nintzen Nairobiko Aga Khan ospitalean.,Yo era una enfermera registrada en el hospital Aga Khan en Nairobi.,Yo era enfermera en el hospital Aga Khan de Nairobi.
Erizainak--,La enfermera--,Enfermeros
Bistan da erizaina zarela ...,Se nota que eres enfermera.,Es evidente que eres enfermera...
Gregek bikiak izan zituen erizain batekin.,Greg tuvo gemelos con una enfermera.,Greg tuvo gemelos con una enfermera.
"Erizaina, utziko gaituzu?","Enfermera, ¿nos da un minuto?","Enfermera, ¿nos dejarás?"
Erizain postuko telefonoa erabil dezakezu.,Puede usar el teléfono del puesto de las enfermeras.,Puedes usar el teléfono del puesto de enfermería.
Erizainak eta botikak?,¿Te quedaste en el hospital?,¿Enfermeras y medicamentos?
Orduan zergatik egiten duzu zuk eta ez erizainak?,Entonces ¿por qué la preparas tú y no la enfermería?,"Entonces, ¿por qué lo haces tú y no la enfermera?"
"Badakizu ez niola tiro egin erizainari erlijio sinesmenarengatik, denek hala uste badute ere?",¿Sabías que no le disparé a la enfermera por ninguna especie de principio religioso como todos piensan?,"¿Sabes que no le disparé a la enfermera por creencias religiosas, aunque todos lo crean?"
"Ospitaletik alde egitean, erizainak George eman zidan manta batean bilduta, eta esan zidan:","Cuando me iba del hospital, la enfermera me entregó a George envuelto en una manta y me dijo:","Al salir del hospital, la enfermera me dio a George envuelto en una manta, y me dijo:"
"Agian txakurrentzat sedante bat lapurtu nuen, edo lau, eta niretzat dauzkat, inoiz gaixotasunen bat nahi izanez gero eta oporretara joan ospitalera erizainei titiak ukitzera.","Tal vez haya robado un sedante canino, o cuatro, y los haya guardado para mí, en caso de que quisiera fingir un ataque e ir de vacaciones al hospital a toquetear enfermeras.","Quizás robé un sedante para perros, o cuatro, y los tengo para mí, por si alguna vez quiero enfermarme e ir de vacaciones al hospital a tocar los pechos a las enfermeras."
Erizainak behar ditugu.,Necesitamos enfermeros.,Necesitamos enfermeras.
"Beharbada horrenbeste bizi naun han ezen ez dinaten ikusten, baina inork ez zion ezer egingo bere bezeroa zaintzera... etorri dunen erizainari.","Quizás es porque llevo viviendo allí mucho tiempo, ya no lo veo de esa manera. Pero nadie va a meterse con una enfermera que va a ver a un cliente.","Quizás vivo tanto allí que no me ven, pero nadie le haría nada a la enfermera que ha venido a cuidar a su cliente."
Zaila dun erizainak honaino ekartzea.,Los asistentes no quieren venir aquí.,Es difícil traer a las enfermeras hasta aquí.
Erizainak berarekin daude.,Las enfermeras están con ella.,Las enfermeras están con él.
Erizaina?,Enfermera.,¿Enfermera?
Erizain baten bila noa?,¿Y no han comenzado la sedación?,¿Estoy buscando una enfermera?
Ekarri erizaina!,"Por favor, avisa a la enfermera.",¡Trae a la enfermera!
Eta ez nekien opari bat erosi eta festa bat egin baina nahi nuen guztia zen erizaina joatea. Eta biok geratzea lehen bezala.,Y no supe si comprarle un regalo o hacerle una fiesta pero lo que quise fue que esa enfermera se fuera y que quedáramos los dos como antes.,"Y no sabía si comprar un regalo y hacer una fiesta, pero todo lo que quería era que la enfermera se fuera. Y que los dos nos quedáramos como antes."
Ni erizain-ikasketak egiten ari naiz.,Hago enfermería.,Estoy estudiando enfermería.
Gero Jujubek erizaindegira joateko baimena eskatzen du. Hortzetako pastagatik.,Gomita pidió permiso para ir a la enfermería por la pasta de dientes que se comió.,Entonces Jujube pide permiso para ir a la enfermería. Por la pasta de dientes.
Terroristek 19 erizain hil dituzte eta 30 desagertuta daude.,Los terroristas han matado a 19 miembros de los equipos sanitarios y hay otros 30 desaparecidos.,Los terroristas han matado a 19 enfermeras y 30 están desaparecidas.
Bidali erizainak aparkalekura. Hirugarren solairua.,Necesitamos paramédicos en el estacionamiento.,Envía a las enfermeras al aparcamiento. Tercer piso.
"Tyrone Woodsek dio, emaztearentzat lan egiten duen hortz-erizainak?","¿Lo dice Tyrone Woods, enfermero dental que trabaja para su esposa?","Tyrone Woods dice, ¿el enfermero dental que trabaja para su esposa?"
"Berandu hasi nintzen, 10 urtez erizain izan eta gero.","Comencé a estudiar tarde, fui enfermera por 10 años.","Empecé tarde, después de haber sido enfermero/a durante 10 años."
"Erizaina naiz, ez albaitaria.","Soy enfermera, no veterinaria.","Soy enfermera, no veterinaria."
"Fisioterapeuta, ortofonista, erizaina...","Un fisioterapeuta, un fonoaudiólogo, una enfermera.","Fisioterapeuta, logopeda, enfermera..."
"Ikasketei berrekin zien, ekintzailea dela frogatuz. Eta urgentzietako maniobrak menperatzen dituen erizaina da.","Retomó sus estudios, lo que demuestra que es emprendedora y es una enfermera que domina las maniobras de urgencia.","Reanudó sus estudios, demostrando su proactividad. Y es enfermero/a que domina las maniobras de urgencias."
Erizainak!,¡Camilleros!,¡Enfermeras!
"Fanny, gure erizaina.","Fanny, nuestra enfermera.","Fanny, nuestra enfermera."
Ama erizaina da,Mi madre es enfermera.,La madre es enfermera
"- Lagundu, burutik odoletan ari da Hil egingo da, erizain bat dago hemen.","Ayúdenlo, sangra mucho. - Va a morirse. - Aquí hay una enfermera.","¡Ayuda! Está sangrando por la cabeza, se va a morir. Hay una enfermera aquí."
Erizaina nintzen.,Era enfermero.,Fui enfermera.
- Murphy! - Erizaina!,- ¡Murphy!,¡Murphy! ¡Enfermera!
Ospitaleko erizaina.,La enfermera en el hospital.,Enfermera del hospital
"Erizaina, egia esan.",Enfermera.,"Enfermera, la verdad."
ERIZAINDEGIA,ENFERMERÍA,Enfermería
- Yoko erizaindegian dago!,- Yoko está en la enfermería.,¡Yoko está en la enfermería!
"Erizaina zara, ez mirabea.","Es su enfermera, no su criada.","Eres enfermera, no sirvienta."
Esan nion erizainari zorterik banu ez nintzatekeela hemen egongo.,"Aunque, como le dije a la enfermera, suerte sería no estar aquí.","Le dije a la enfermera que si tuviera suerte, no estaría aquí."
Zure erizain zenbakia jartzen duzu.,Pones tu número de enfermero.,Pones tu número de enfermera.
"Itzela da, primerako erizaina.",Una enfermera maravillosa.,"Es maravillosa, una enfermera excelente."
"Gau honetan zuen erizaina izango da, baina behar banauzue hemendik egongo naiz.","Será su enfermero esta noche, pero estoy cerca si me necesitan.","Esta noche será su enfermera, pero si me necesitan, estaré por aquí."
