Basque (eu),Spanish (es)
"Beharbada horrenbeste bizi naun han ezen ez dinaten ikusten, baina inork ez zion ezer egingo bere bezeroa zaintzera... etorri dunen erizainari.","Quizás es porque llevo viviendo allí mucho tiempo, ya no lo veo de esa manera. Pero nadie va a meterse con una enfermera que va a ver a un cliente."
Zaila dun erizainak honaino ekartzea.,Los asistentes no quieren venir aquí.
Erizainak berarekin daude.,Las enfermeras están con ella.
Erizaina?,Enfermera.
Erizain baten bila noa?,¿Y no han comenzado la sedación?
Ekarri erizaina!,"Por favor, avisa a la enfermera."
Eta ez nekien opari bat erosi eta festa bat egin baina nahi nuen guztia zen erizaina joatea. Eta biok geratzea lehen bezala.,Y no supe si comprarle un regalo o hacerle una fiesta pero lo que quise fue que esa enfermera se fuera y que quedáramos los dos como antes.
Ni erizain-ikasketak egiten ari naiz.,Hago enfermería.
Gero Jujubek erizaindegira joateko baimena eskatzen du. Hortzetako pastagatik.,Gomita pidió permiso para ir a la enfermería por la pasta de dientes que se comió.
Terroristek 19 erizain hil dituzte eta 30 desagertuta daude.,Los terroristas han matado a 19 miembros de los equipos sanitarios y hay otros 30 desaparecidos.
Bidali erizainak aparkalekura. Hirugarren solairua.,Necesitamos paramédicos en el estacionamiento.
"Tyrone Woodsek dio, emaztearentzat lan egiten duen hortz-erizainak?","¿Lo dice Tyrone Woods, enfermero dental que trabaja para su esposa?"
"Berandu hasi nintzen, 10 urtez erizain izan eta gero.","Comencé a estudiar tarde, fui enfermera por 10 años."
"Erizaina naiz, ez albaitaria.","Soy enfermera, no veterinaria."
"Fisioterapeuta, ortofonista, erizaina...","Un fisioterapeuta, un fonoaudiólogo, una enfermera."
"Ikasketei berrekin zien, ekintzailea dela frogatuz. Eta urgentzietako maniobrak menperatzen dituen erizaina da.","Retomó sus estudios, lo que demuestra que es emprendedora y es una enfermera que domina las maniobras de urgencia."
Erizainak!,¡Camilleros!
"Fanny, gure erizaina.","Fanny, nuestra enfermera."
Ama erizaina da,Mi madre es enfermera.
"- Lagundu, burutik odoletan ari da Hil egingo da, erizain bat dago hemen.","Ayúdenlo, sangra mucho. - Va a morirse. - Aquí hay una enfermera."
Erizaina nintzen.,Era enfermero.
- Murphy! - Erizaina!,- ¡Murphy!
Ospitaleko erizaina.,La enfermera en el hospital.
"Erizaina, egia esan.",Enfermera.
ERIZAINDEGIA,ENFERMERÍA
- Yoko erizaindegian dago!,- Yoko está en la enfermería.
"Erizaina zara, ez mirabea.","Es su enfermera, no su criada."
Esan nion erizainari zorterik banu ez nintzatekeela hemen egongo.,"Aunque, como le dije a la enfermera, suerte sería no estar aquí."
Zure erizain zenbakia jartzen duzu.,Pones tu número de enfermero.
"Itzela da, primerako erizaina.",Una enfermera maravillosa.
"Gau honetan zuen erizaina izango da, baina behar banauzue hemendik egongo naiz.","Será su enfermero esta noche, pero estoy cerca si me necesitan."
Erizain batek Pennsylvanian egoitza bat bortxatzeagatik karguak ditu.,Un enfermero fue acusado de violar propiedad privada en Pensilvania.
Erizain batek?,¿Un enfermero?
Loughren erizaina.,Enfermera Loughren.
Erizain bikaina da.,Es un excelente enfermero.
Erizainen medikamentu-erretiratze guztiak agertzen dira.,Registra los retiros de medicamentos de todos los enfermeros.
"Garran erizaina, frogak ezkutatzen ari zarela dirudi.","Enfermera, parece que está ocultando evidencia."
Loughren erizaina?,¿Enfermera Loughren?
Fitxategiak eta elkarrizketatutako erizain bat.,Con los reportes.
Non dago erizaina?,¿Dónde está la enfermera?
Zure lagun erizainak hitz egin nahiko du?,¿Tu amiga enfermera hablaría con nosotros?
"Mesedez, Linda Garran erizaina izan zen behin.","Vamos, chicos. Linda Garran solía ser enfermera."
"Poltsak nola pozoitu dituzun dakigu, beste erizainek zintzilikatu zitzaten.",Sabemos que envenenaste las bolsas en el depósito. Otras enfermeras las colgaron.
CULLEN ERIZAIN IZAN ZEN HAMASEI URTEZ.,CULLEN FUE ENFERMERO DURANTE 16 AÑOS.
ERIZAIN ONA IZATEN JARRAITZEN DU.,SIGUE SIENDO UNA GRAN ENFERMERA.
"Bere ama erizain laguntzailea da, ez du asko irabazten.",Su mamá es asistente de enfermería y no tiene dinero de sobra.
"Trauma osteko estres-nahasmendua daukazula uste baduzu  edo zure osasun mentalari buruz profesional batekin hitz egin nahi baduzu, erizain bat egongo da larunbat goizetan bosgarren hangarrean.","Si crees que podrías padecer estrés postraumático o te gustaría hablar de salud mental con un profesional, los sábados habrá una enfermera en el hangar cinco."
Erizain bat eserita dago.,"Allí sentada, una enfermera."
Erizain ingeles bat.,Una enfermera inglesa.
Erizain ingelesa izango zara.,Usted debe ser la enfermera inglesa.
"Erizain bat eta moja bat behar ditut, eta ez zara moja.","Espero a una monja y a una enfermera, y usted no es la monja."
"Zergatik ez bi erizain, McBrearty doktorea?","¿Por qué no somos dos enfermeras, doctor McBrearty?"
"Arreba Michael bigarren erizaina da, Wright andrea.","La hermana Michael es la segunda enfermera, señora Wright."
"Mila esker, Wright erizaina.","Gracias a usted, enfermera Wright."
Zer nolako herri atzeratuak ekartzen du erizain bat horretarako?,¿Qué clase de pueblo atrasado trae a una enfermera para algo así?
"Krimean izan ziren erizaina, ezta?",¿No fue enfermera en Crimea?
Ez du zerikusirik erizaintzarekin.,Esto no tiene nada que ver con la enfermería.
Zaintzera etorri den erizaina.,"Como Florence Nightingale, vino a cuidarla."
"Wright erizaina zuretzat, neska.",Enfermera Wright para ti.
Erizaina da.,Esa es la enfermera.
"Gu zalantzan jartzea ez da zure lana, erizaina.","No es su trabajo cuestionarnos, enfermera."
"Zientziako aurkikunde handiek, Arkimedesetik Newtoneraino, hasieran magia beltza ziruditen, ezta, erizaina?","Los grandes descubrimientos de la ciencia, desde Arquímedes hasta Newton, siempre parecieron magia negra al principio, ¿no, enfermera?"
Erizaina zara.,Usted es enfermera.
"Akatsa izan da, izugarrizko akatsa, erizain bat hona ekartzea.",Fue un terrible error traer a una enfermera.
Erizain ingelesa.,Una enfermera inglesa.
Erizainak ez zuen idatzi.,Ella no escribió eso.
batzorde honen langile gisa lanean ari zen erizainari?,que estaba actuando bajo órdenes de este comité.
Erizain eta senide gehienak bizirik utzi ditu.,Dejó a personal de enfermería y familiares.
Duela hilabete batzuk erizain gisa kontratatu zuten.,El tío fue contratado como enfermero hace meses.
- Erizainari susto bat eman nahi nion.,[Maggie] Quería darle un susto a la enfermera.
"Zorionez, erizaina etxean zegoen.",-Suerte que estaba la enfermera.
Ez du erizain bat behar.,No necesita una enfermera.
Erizain eta suhiltzaile baten alaba.,Hija de una enfermera y un bombero.
"Usain gogor eta sarkorra zabaldu zen gelan, oroitzapen desatseginak ekarriz: erizainak eta zirujauak gela zuri batean.","El olor pesado, nauseabundo del cloroformo se extendió y trajo recuerdos desagradables de enfermeras y cirujanos en un cuarto blanco con una mesa."
Erizaina bidaliko dut zaintzarekin laguntzeko.,La enfermera le dará instrucciones de cuidado.
